frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total_balls,balls_in_hand,balls_in_air,avg_chain_quality
448,3,0,0,3,,c19|c20|c21,0.938
449,3,0,0,3,,c19|c20|c21,0.938
450,3,0,0,3,,c19|c20|c21,0.938
451,2,0,0,2,,c19|c21,0.946
452,2,0,0,2,,c19|c21,0.946
453,2,0,0,2,,c19|c21,0.946
454,2,0,0,2,,c19|c21,0.946
455,2,0,0,2,,c19|c21,0.946
456,2,0,0,2,,c19|c21,0.946
457,2,0,0,2,,c19|c21,0.946
458,2,0,0,2,,c19|c21,0.946
459,2,0,0,2,,c19|c21,0.946
460,2,0,0,2,,c19|c21,0.946
461,2,0,0,2,,c20|c21,0.944
462,2,0,0,2,,c20|c21,0.944
463,2,0,0,2,,c20|c21,0.944
464,2,0,0,2,,c20|c21,0.944
465,2,0,0,2,,c20|c21,0.944
466,2,0,0,2,,c20|c21,0.944
467,2,0,0,2,,c20|c21,0.944
468,2,0,0,2,,c20|c21,0.944
469,2,0,0,2,,c20|c21,0.944
470,2,0,0,2,,c20|c21,0.944
471,3,0,0,3,,c19|c20|c21,0.938
472,3,0,0,3,,c19|c20|c21,0.938
473,1,0,0,1,,c21,0.966
474,1,0,0,1,,c21,0.966
475,1,0,0,1,,c21,0.966
476,1,0,0,1,,c21,0.966
477,1,0,0,1,,c21,0.966
478,1,0,0,1,,c21,0.966
479,1,0,0,1,,c21,0.966
480,1,0,0,1,,c21,0.966
481,1,0,0,1,,c21,0.966
482,1,0,0,1,,c21,0.966
483,1,0,0,1,,c21,0.966
484,1,0,0,1,,c21,0.966
485,1,0,0,1,,c21,0.966
486,1,0,0,1,,c21,0.966
487,1,0,0,1,,c21,0.966
488,1,0,0,1,,c21,0.966
489,1,0,0,1,,c21,0.966
490,1,0,0,1,,c21,0.966
491,1,0,0,1,,c21,0.966
492,1,0,0,1,,c21,0.966
493,1,0,0,1,,c21,0.966
494,1,0,0,1,,c21,0.966
495,1,0,0,1,,c21,0.966
496,1,0,0,1,,c21,0.966
497,1,0,0,1,,c21,0.966
498,1,0,0,1,,c21,0.966
499,1,0,0,1,,c21,0.966
500,1,0,0,1,,c21,0.966
501,1,0,0,1,,c21,0.966
502,1,0,0,1,,c21,0.966
503,1,0,0,1,,c21,0.966
504,1,0,0,1,,c21,0.966
505,1,0,0,1,,c21,0.966
506,1,0,0,1,,c21,0.966
507,2,0,0,2,,c21|c23,0.901
508,2,0,0,2,,c21|c23,0.901
509,2,0,0,2,,c21|c23,0.901
510,2,0,0,2,,c21|c23,0.901
511,2,0,0,2,,c21|c23,0.901
512,2,0,0,2,,c21|c23,0.901
513,2,0,0,2,,c21|c23,0.901
514,2,0,0,2,,c21|c23,0.901
515,2,0,0,2,,c21|c23,0.901
516,2,0,0,2,,c21|c23,0.901
517,2,0,0,2,,c21|c23,0.901
518,2,0,0,2,,c21|c23,0.901
519,2,0,0,2,,c21|c23,0.901
520,2,0,0,2,,c21|c23,0.901
521,2,0,0,2,,c21|c23,0.901
522,2,0,0,2,,c21|c23,0.901
523,0,0,0,0,,,0.000
524,0,0,0,0,,,0.000
525,0,0,0,0,,,0.000
526,0,0,0,0,,,0.000
527,0,0,0,0,,,0.000
528,0,0,0,0,,,0.000
529,0,0,0,0,,,0.000
530,0,0,0,0,,,0.000
531,0,0,0,0,,,0.000
532,0,0,0,0,,,0.000
533,3,0,0,3,,c21|c23|c24,0.848
534,3,0,0,3,,c21|c23|c24,0.848
535,1,0,0,1,,c21,0.966
536,1,0,0,1,,c21,0.966
537,1,0,0,1,,c21,0.966
538,1,0,0,1,,c21,0.966
539,1,0,0,1,,c21,0.966
540,1,0,0,1,,c21,0.966
541,1,0,0,1,,c21,0.966
542,1,0,0,1,,c21,0.966
543,1,0,0,1,,c21,0.966
544,1,0,0,1,,c21,0.966
545,2,0,0,2,,c21|c24,0.854
546,2,0,0,2,,c21|c24,0.854
547,2,0,0,2,,c21|c24,0.854
548,2,0,0,2,,c21|c24,0.854
549,3,0,0,3,,c21|c23|c24,0.848
550,3,0,0,3,,c21|c23|c24,0.848
551,3,0,0,3,,c21|c23|c24,0.848
552,3,0,0,3,,c21|c23|c24,0.848
553,3,0,0,3,,c21|c23|c24,0.848
554,3,0,0,3,,c21|c23|c24,0.848
555,3,0,0,3,,c21|c23|c24,0.848
556,3,0,0,3,,c21|c23|c24,0.848
557,3,0,0,3,,c21|c23|c24,0.848
558,3,0,0,3,,c21|c23|c24,0.848
559,3,0,0,3,,c21|c23|c24,0.848
560,3,0,0,3,,c21|c23|c24,0.848
561,3,0,0,3,,c21|c23|c24,0.848
562,3,0,0,3,,c21|c23|c24,0.848
563,3,0,0,3,,c21|c23|c24,0.848
564,3,0,0,3,,c21|c23|c24,0.848
565,3,0,0,3,,c21|c23|c24,0.848
566,3,0,0,3,,c21|c23|c24,0.848
567,3,0,0,3,,c21|c23|c24,0.848
568,3,0,0,3,,c21|c23|c24,0.848
569,3,0,0,3,,c21|c23|c24,0.848
570,3,0,0,3,,c21|c23|c24,0.848
571,3,0,0,3,,c21|c23|c24,0.848
572,3,0,0,3,,c21|c23|c24,0.848
573,3,0,0,3,,c21|c23|c24,0.848
574,3,0,0,3,,c21|c23|c24,0.848
575,3,0,0,3,,c21|c23|c24,0.848
576,3,0,0,3,,c21|c23|c24,0.848
577,3,0,0,3,,c21|c23|c24,0.848
578,3,0,0,3,,c21|c23|c24,0.848
579,2,0,0,2,,c23|c24,0.789
580,2,0,0,2,,c23|c24,0.789
581,2,0,0,2,,c23|c24,0.789
582,2,0,0,2,,c23|c24,0.789
583,1,0,0,1,,c24,0.742
584,1,0,0,1,,c24,0.742
585,1,0,0,1,,c24,0.742
586,1,0,0,1,,c24,0.742
587,1,0,0,1,,c24,0.742
588,1,0,0,1,,c24,0.742
589,1,0,0,1,,c24,0.742
590,1,0,0,1,,c24,0.742
591,2,0,0,2,,c23|c24,0.789
592,2,0,0,2,,c23|c24,0.789
593,3,0,0,3,,c23|c24|c25,0.669
594,3,0,0,3,,c23|c24|c25,0.669
595,3,0,0,3,,c23|c24|c25,0.669
596,3,0,0,3,,c23|c24|c25,0.669
597,3,0,0,3,,c23|c24|c25,0.669
598,3,0,0,3,,c23|c24|c25,0.669
599,2,0,0,2,,c23|c24,0.789
600,2,0,0,2,,c23|c24,0.789
601,2,0,0,2,,c23|c24,0.789
602,2,0,0,2,,c23|c24,0.789
603,2,0,0,2,,c23|c24,0.789
604,2,0,0,2,,c23|c24,0.789
605,2,0,0,2,,c23|c24,0.789
606,2,0,0,2,,c23|c24,0.789
607,2,0,0,2,,c23|c24,0.789
608,2,0,0,2,,c23|c24,0.789
609,1,0,0,1,,c24,0.742
610,1,0,0,1,,c24,0.742
611,1,0,0,1,,c24,0.742
612,1,0,0,1,,c24,0.742
613,1,0,0,1,,c24,0.742
614,1,0,0,1,,c24,0.742
615,1,0,0,1,,c24,0.742
616,1,0,0,1,,c24,0.742
617,1,0,0,1,,c24,0.742
618,1,0,0,1,,c24,0.742
619,1,0,0,1,,c24,0.742
620,1,0,0,1,,c24,0.742
621,2,0,0,2,,c23|c24,0.789
622,2,0,0,2,,c23|c24,0.789
623,2,0,0,2,,c24|c26,0.585
624,2,0,0,2,,c24|c26,0.585
625,2,0,0,2,,c24|c26,0.585
626,2,0,0,2,,c24|c26,0.585
627,2,0,0,2,,c24|c26,0.585
628,2,0,0,2,,c24|c26,0.585
629,2,0,0,2,,c24|c26,0.585
630,2,0,0,2,,c24|c26,0.585
631,3,0,0,3,,c23|c24|c26,0.669
632,3,0,0,3,,c23|c24|c26,0.669
633,3,0,0,3,,c23|c24|c26,0.669
634,3,0,0,3,,c23|c24|c26,0.669
635,3,0,0,3,,c23|c24|c26,0.669
636,3,0,0,3,,c23|c24|c26,0.669
637,3,0,0,3,,c23|c24|c26,0.669
638,3,0,0,3,,c23|c24|c26,0.669
639,3,0,0,3,,c23|c24|c26,0.669
640,3,0,0,3,,c23|c24|c26,0.669
641,3,0,0,3,,c23|c24|c26,0.669
642,3,0,0,3,,c23|c24|c26,0.669
