frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39v2_pattern
174,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
175,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
176,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
177,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
178,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
179,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
180,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
181,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
182,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
183,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
184,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
185,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
186,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
187,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
188,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
189,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
190,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
191,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
192,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
193,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
194,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
195,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
196,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
197,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
198,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
199,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
200,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
201,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
202,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
203,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
204,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
205,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
206,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+
207,0,1,2,CATCH,2,0,1,2,TWO_BALL_ONE_HAND,0.479,True,True,True,TWO_BALL_ONE_HAND
208,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.454,True,False,False,SINGLE_BALL
212,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
213,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
220,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
221,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
222,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
223,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
224,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
225,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
226,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
227,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
228,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
229,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
230,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
231,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL
232,0,0,3,THROW,3,0,1,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
233,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
234,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
235,0,1,2,CATCH,3,0,1,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
236,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL
237,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL
238,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL
239,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL
240,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL
241,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL
242,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL
243,0,0,3,THROW,3,0,1,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
244,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
245,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
246,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
247,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
248,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
249,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
250,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
251,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
252,1,0,2,CATCH,3,1,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+
253,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.731,False,True,False,TWO_BALL
254,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.731,False,True,False,TWO_BALL
255,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.731,False,True,False,TWO_BALL
256,1,0,2,HOLD,1,0,0,1,SINGLE_BALL,0.958,False,True,False,SINGLE_BALL
257,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.935,False,True,False,TWO_BALL
258,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.935,False,True,False,TWO_BALL
259,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.935,False,True,False,TWO_BALL
260,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.935,False,True,False,TWO_BALL
261,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.935,False,True,False,TWO_BALL
262,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.935,False,True,False,TWO_BALL
263,0,0,3,THROW,3,1,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
264,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
