frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence
345,5,0,0,5,0.649,FOUNTAIN_3+,0.649
346,5,0,0,5,0.649,FOUNTAIN_3+,0.649
347,5,0,0,5,0.649,FOUNTAIN_3+,0.649
348,5,0,0,5,0.649,FOUNTAIN_3+,0.649
349,5,0,0,5,0.649,FOUNTAIN_3+,0.649
350,5,0,0,5,0.649,FOUNTAIN_3+,0.649
351,5,0,0,5,0.649,FOUNTAIN_3+,0.649
352,5,0,0,5,0.649,FOUNTAIN_3+,0.649
353,5,0,0,5,0.649,FOUNTAIN_3+,0.649
354,5,0,0,5,0.649,FOUNTAIN_3+,0.649
355,5,0,0,5,0.649,FOUNTAIN_3+,0.649
356,5,0,0,5,0.649,FOUNTAIN_3+,0.649
357,5,0,0,5,0.649,FOUNTAIN_3+,0.649
358,5,0,0,5,0.649,FOUNTAIN_3+,0.649
359,5,0,0,5,0.649,FOUNTAIN_3+,0.649
360,5,0,0,5,0.649,FOUNTAIN_3+,0.649
361,5,0,0,5,0.649,FOUNTAIN_3+,0.649
362,5,0,0,5,0.649,FOUNTAIN_3+,0.649
363,5,0,0,5,0.649,FOUNTAIN_3+,0.649
364,5,0,0,5,0.649,FOUNTAIN_3+,0.649
365,5,0,0,5,0.649,FOUNTAIN_3+,0.649
366,5,0,0,5,0.649,FOUNTAIN_3+,0.649
367,5,0,0,5,0.649,FOUNTAIN_3+,0.649
368,5,0,0,5,0.649,FOUNTAIN_3+,0.649
369,5,0,0,5,0.649,FOUNTAIN_3+,0.649
370,5,0,0,5,0.649,FOUNTAIN_3+,0.649
371,5,0,0,5,0.649,FOUNTAIN_3+,0.649
372,5,0,0,5,0.649,FOUNTAIN_3+,0.649
373,5,0,0,5,0.649,FOUNTAIN_3+,0.649
374,5,0,0,5,0.649,FOUNTAIN_3+,0.649
375,5,1,0,5,0.649,MIXED_3+,0.649
376,4,0,0,4,0.657,MIXED_3+,0.657
377,4,0,0,4,0.657,MIXED_3+,0.657
378,4,0,0,4,0.657,MIXED_3+,0.657
379,4,0,0,4,0.657,MIXED_3+,0.657
380,4,0,0,4,0.657,MIXED_3+,0.657
381,5,1,0,5,0.649,MIXED_3+,0.649
382,5,0,0,5,0.649,MIXED_3+,0.649
383,5,0,0,5,0.649,MIXED_3+,0.649
384,5,0,0,5,0.649,MIXED_3+,0.649
385,5,0,0,5,0.649,MIXED_3+,0.649
386,5,0,0,5,0.649,MIXED_3+,0.649
387,5,0,0,5,0.649,MIXED_3+,0.649
388,5,0,0,5,0.649,MIXED_3+,0.649
389,5,0,0,5,0.649,MIXED_3+,0.649
390,5,0,0,5,0.649,MIXED_3+,0.649
391,5,0,0,5,0.649,MIXED_3+,0.649
392,5,0,0,5,0.649,MIXED_3+,0.649
393,5,0,0,5,0.649,MIXED_3+,0.649
394,5,0,0,5,0.649,MIXED_3+,0.649
395,5,0,0,5,0.649,MIXED_3+,0.649
396,5,0,0,5,0.649,MIXED_3+,0.649
397,5,0,0,5,0.649,MIXED_3+,0.649
398,5,0,0,5,0.649,MIXED_3+,0.649
399,5,0,0,5,0.649,MIXED_3+,0.649
400,5,0,0,5,0.649,MIXED_3+,0.649
401,5,0,0,5,0.649,MIXED_3+,0.649
402,5,0,0,5,0.649,MIXED_3+,0.649
403,5,0,0,5,0.649,MIXED_3+,0.649
404,5,0,0,5,0.649,MIXED_3+,0.649
405,5,0,0,5,0.649,MIXED_3+,0.649
406,5,0,0,5,0.649,MIXED_3+,0.649
407,5,0,0,5,0.649,MIXED_3+,0.649
408,5,0,0,5,0.649,MIXED_3+,0.649
409,5,0,0,5,0.649,MIXED_3+,0.649
410,5,0,0,5,0.649,MIXED_3+,0.649
411,5,0,1,5,0.649,CASCADE_3+,0.649
412,4,0,0,4,0.641,CASCADE_3+,0.641
413,4,0,0,4,0.641,CASCADE_3+,0.641
414,4,0,0,4,0.641,CASCADE_3+,0.641
415,4,0,0,4,0.641,CASCADE_3+,0.641
416,4,0,0,4,0.641,CASCADE_3+,0.641
417,4,0,0,4,0.641,CASCADE_3+,0.641
418,4,0,0,4,0.641,CASCADE_3+,0.641
419,4,0,0,4,0.641,CASCADE_3+,0.641
420,5,0,1,5,0.649,MIXED_3+,0.649
421,5,0,0,5,0.649,MIXED_3+,0.649
422,5,0,0,5,0.649,MIXED_3+,0.649
423,5,0,0,5,0.649,MIXED_3+,0.649
424,5,0,0,5,0.649,MIXED_3+,0.649
425,5,0,0,5,0.649,MIXED_3+,0.649
426,5,0,0,5,0.649,MIXED_3+,0.649
427,4,0,0,4,0.663,MIXED_3+,0.663
428,4,0,0,4,0.663,MIXED_3+,0.663
429,4,0,0,4,0.663,MIXED_3+,0.663
430,4,0,0,4,0.663,MIXED_3+,0.663
431,4,0,0,4,0.663,MIXED_3+,0.663
432,4,0,0,4,0.663,MIXED_3+,0.663
433,4,0,0,4,0.663,MIXED_3+,0.663
434,4,0,0,4,0.663,MIXED_3+,0.663
435,4,0,0,4,0.663,MIXED_3+,0.663
436,4,0,0,4,0.663,MIXED_3+,0.663
437,4,0,0,4,0.663,MIXED_3+,0.663
438,4,0,0,4,0.663,MIXED_3+,0.663
439,4,0,0,4,0.663,MIXED_3+,0.663
440,4,0,0,4,0.663,MIXED_3+,0.663
441,4,0,0,4,0.663,MIXED_3+,0.663
442,4,0,0,4,0.663,MIXED_3+,0.663
443,4,0,0,4,0.663,MIXED_3+,0.663
444,4,0,0,4,0.663,MIXED_3+,0.663
445,5,0,0,5,0.654,MIXED_3+,0.654
446,5,0,0,5,0.654,MIXED_3+,0.654
447,5,0,0,5,0.654,MIXED_3+,0.654
448,5,0,0,5,0.654,MIXED_3+,0.654
449,5,0,0,5,0.654,MIXED_3+,0.654
450,5,0,0,5,0.654,MIXED_3+,0.654
451,5,0,0,5,0.654,MIXED_3+,0.654
452,5,0,0,5,0.654,MIXED_3+,0.654
453,5,0,0,5,0.654,MIXED_3+,0.654
454,5,0,0,5,0.654,MIXED_3+,0.654
455,5,0,0,5,0.654,MIXED_3+,0.654
456,5,0,0,5,0.654,MIXED_3+,0.654
457,5,0,0,5,0.654,MIXED_3+,0.654
458,5,0,0,5,0.654,MIXED_3+,0.654
459,5,0,0,5,0.654,MIXED_3+,0.654
460,5,0,0,5,0.654,MIXED_3+,0.654
461,5,0,0,5,0.654,MIXED_3+,0.654
462,5,0,0,5,0.654,MIXED_3+,0.654
463,5,0,0,5,0.654,MIXED_3+,0.654
464,5,0,0,5,0.654,MIXED_3+,0.654
465,5,0,0,5,0.654,MIXED_3+,0.654
466,6,0,0,6,0.646,MIXED_3+,0.646
467,6,0,0,6,0.646,MIXED_3+,0.646
468,6,0,0,6,0.646,MIXED_3+,0.646
469,5,0,0,5,0.639,MIXED_3+,0.639
470,5,0,0,5,0.639,CASCADE_3+,0.639
471,4,0,0,4,0.646,CASCADE_3+,0.646
472,4,0,0,4,0.646,CASCADE_3+,0.646
473,4,0,0,4,0.646,CASCADE_3+,0.646
474,4,0,0,4,0.646,CASCADE_3+,0.646
475,4,0,0,4,0.646,CASCADE_3+,0.646
476,4,0,0,4,0.646,CASCADE_3+,0.646
477,4,0,0,4,0.646,CASCADE_3+,0.646
478,4,0,0,4,0.646,CASCADE_3+,0.646
479,4,0,0,4,0.646,CASCADE_3+,0.646
480,4,0,0,4,0.646,CASCADE_3+,0.646
481,4,0,0,4,0.646,CASCADE_3+,0.646
482,5,0,0,5,0.639,MIXED_3+,0.639
483,5,0,0,5,0.639,MIXED_3+,0.639
484,5,0,0,5,0.639,MIXED_3+,0.639
485,5,0,0,5,0.639,MIXED_3+,0.639
486,5,0,0,5,0.639,MIXED_3+,0.639
487,5,0,0,5,0.639,MIXED_3+,0.639
488,5,0,0,5,0.639,MIXED_3+,0.639
489,5,0,0,5,0.639,MIXED_3+,0.639
490,5,0,0,5,0.639,MIXED_3+,0.639
