frame,n_in_hand_left,n_in_hand_right,n_total,instant_dirs,smoothed_dirs,pattern,confidence
184,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
185,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
186,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
187,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
188,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
189,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
190,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
191,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
192,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
193,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
194,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
195,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
196,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
197,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
198,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
199,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
200,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
201,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
202,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
203,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
204,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
205,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
206,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
207,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
208,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
209,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
210,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
211,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
212,0,0,5,1,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
213,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
214,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
215,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
216,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
217,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
218,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
219,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
220,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
221,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
222,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
223,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
224,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
225,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
