frame,pattern,confidence,new_pattern
451,TWO_BALL,0.755,TWO_BALL
452,TWO_BALL,0.755,TWO_BALL
453,TWO_BALL,0.755,TWO_BALL
454,TWO_BALL,0.755,TWO_BALL
455,TWO_BALL,0.755,TWO_BALL
456,TWO_BALL,0.755,TWO_BALL
457,TWO_BALL,0.755,TWO_BALL
458,TWO_BALL,0.755,TWO_BALL
459,TWO_BALL,0.755,TWO_BALL
460,TWO_BALL,0.755,TWO_BALL
461,TWO_BALL,0.887,TWO_BALL
462,TWO_BALL,0.887,TWO_BALL
463,TWO_BALL,0.887,TWO_BALL
464,TWO_BALL,0.887,TWO_BALL
465,TWO_BALL,0.887,TWO_BALL
466,TWO_BALL,0.887,TWO_BALL
467,TWO_BALL,0.887,TWO_BALL
468,TWO_BALL,0.887,TWO_BALL
469,TWO_BALL,0.887,TWO_BALL
470,TWO_BALL,0.887,TWO_BALL
471,CASCADE_3+,0.792,CASCADE_3+
472,CASCADE_3+,0.792,CASCADE_3+
473,SINGLE_BALL,0.908,SINGLE_BALL
474,SINGLE_BALL,0.908,SINGLE_BALL
475,SINGLE_BALL,0.908,SINGLE_BALL
476,SINGLE_BALL,0.908,SINGLE_BALL
477,SINGLE_BALL,0.908,SINGLE_BALL
478,SINGLE_BALL,0.908,SINGLE_BALL
479,SINGLE_BALL,0.908,SINGLE_BALL
480,SINGLE_BALL,0.908,SINGLE_BALL
481,SINGLE_BALL,0.908,SINGLE_BALL
482,SINGLE_BALL,0.908,SINGLE_BALL
483,SINGLE_BALL,0.908,SINGLE_BALL
484,SINGLE_BALL,0.908,SINGLE_BALL
485,SINGLE_BALL,0.908,SINGLE_BALL
486,SINGLE_BALL,0.908,SINGLE_BALL
487,SINGLE_BALL,0.908,SINGLE_BALL
488,SINGLE_BALL,0.908,SINGLE_BALL
489,SINGLE_BALL,0.908,SINGLE_BALL
490,SINGLE_BALL,0.908,SINGLE_BALL
491,SINGLE_BALL,0.908,SINGLE_BALL
492,SINGLE_BALL,0.908,SINGLE_BALL
493,SINGLE_BALL,0.908,SINGLE_BALL
494,SINGLE_BALL,0.908,SINGLE_BALL
495,SINGLE_BALL,0.908,SINGLE_BALL
496,SINGLE_BALL,0.908,SINGLE_BALL
497,SINGLE_BALL,0.908,SINGLE_BALL
498,SINGLE_BALL,0.908,SINGLE_BALL
499,SINGLE_BALL,0.908,SINGLE_BALL
500,SINGLE_BALL,0.908,SINGLE_BALL
501,SINGLE_BALL,0.908,SINGLE_BALL
502,SINGLE_BALL,0.908,SINGLE_BALL
503,SINGLE_BALL,0.908,SINGLE_BALL
504,SINGLE_BALL,0.908,SINGLE_BALL
505,SINGLE_BALL,0.908,SINGLE_BALL
506,SINGLE_BALL,0.908,SINGLE_BALL
507,TWO_BALL,0.733,TWO_BALL
508,TWO_BALL,0.733,TWO_BALL
509,TWO_BALL,0.733,TWO_BALL
510,TWO_BALL,0.733,TWO_BALL
511,TWO_BALL,0.733,TWO_BALL
512,TWO_BALL,0.733,TWO_BALL
513,TWO_BALL,0.733,TWO_BALL
514,TWO_BALL,0.733,TWO_BALL
515,TWO_BALL,0.733,TWO_BALL
516,TWO_BALL,0.733,TWO_BALL
517,TWO_BALL,0.733,TWO_BALL
518,TWO_BALL,0.733,TWO_BALL
519,TWO_BALL,0.733,TWO_BALL
520,TWO_BALL,0.733,TWO_BALL
521,TWO_BALL,0.733,TWO_BALL
522,TWO_BALL,0.733,TWO_BALL
533,CASCADE_3+,0.704,CASCADE_3+
534,MIXED_3+,0.704,MIXED_3+
535,SINGLE_BALL,0.908,SINGLE_BALL
536,SINGLE_BALL,0.908,SINGLE_BALL
537,SINGLE_BALL,0.908,SINGLE_BALL
538,SINGLE_BALL,0.908,SINGLE_BALL
539,SINGLE_BALL,0.908,SINGLE_BALL
540,SINGLE_BALL,0.908,SINGLE_BALL
541,SINGLE_BALL,0.908,SINGLE_BALL
542,SINGLE_BALL,0.908,SINGLE_BALL
543,SINGLE_BALL,0.908,SINGLE_BALL
544,SINGLE_BALL,0.908,SINGLE_BALL
545,TWO_BALL,0.776,TWO_BALL
546,TWO_BALL,0.776,TWO_BALL
547,TWO_BALL,0.776,TWO_BALL
548,TWO_BALL,0.776,TWO_BALL
549,MIXED_3+,0.704,MIXED_3+
550,MIXED_3+,0.704,MIXED_3+
551,MIXED_3+,0.704,MIXED_3+
552,MIXED_3+,0.704,MIXED_3+
553,MIXED_3+,0.704,MIXED_3+
554,MIXED_3+,0.704,MIXED_3+
555,MIXED_3+,0.704,MIXED_3+
556,MIXED_3+,0.704,MIXED_3+
557,MIXED_3+,0.704,MIXED_3+
558,MIXED_3+,0.704,MIXED_3+
559,MIXED_3+,0.704,MIXED_3+
560,MIXED_3+,0.704,MIXED_3+
561,MIXED_3+,0.704,MIXED_3+
562,MIXED_3+,0.704,MIXED_3+
563,MIXED_3+,0.704,MIXED_3+
564,MIXED_3+,0.704,MIXED_3+
565,MIXED_3+,0.704,MIXED_3+
566,MIXED_3+,0.704,MIXED_3+
567,MIXED_3+,0.704,MIXED_3+
568,MIXED_3+,0.704,MIXED_3+
569,MIXED_3+,0.704,MIXED_3+
570,MIXED_3+,0.704,MIXED_3+
571,MIXED_3+,0.704,MIXED_3+
572,MIXED_3+,0.704,MIXED_3+
573,MIXED_3+,0.704,MIXED_3+
