event_id,video,stem,frame,time_seconds,hand,event_type,tid,point_x,point_y,wrist_x,wrist_y,dist,slope,pre_depth,pool_depth,identity_ambiguous,notes
23,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,715,23.8333,right,UNMATCHED_EXIT,30,572.88,391.86,,,34.96,13.247,0,0,False,throw-side exit; hand was empty
24,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,731,24.3667,left,UNMATCHED_EXIT,31,606.62,356.45,,,50.19,14.349,0,0,False,throw-side exit; hand was empty
25,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,743,24.7667,right,UNMATCHED_EXIT,32,577.49,391.19,,,30.04,14.126,0,0,False,throw-side exit; hand was empty
26,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,755,25.1667,left,UNMATCHED_EXIT,33,619.88,421.65,,,11.52,10.323,0,0,False,throw-side exit; hand was empty
27,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,769,25.6333,right,UNMATCHED_EXIT,34,569.95,450.94,,,4.45,9.056,0,0,False,throw-side exit; hand was empty
28,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,800,26.6667,right,UNMATCHED_EXIT,35,579.41,408.78,,,23.3,11.204,0,0,False,throw-side exit; hand was empty
29,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,825,27.5,right,UNMATCHED_EXIT,36,578.14,445.47,,,10.11,10.379,0,0,False,throw-side exit; hand was empty
30,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,854,28.4667,right,UNMATCHED_EXIT,37,580.47,435.61,,,12.37,10.982,0,0,False,throw-side exit; hand was empty
31,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,869,28.9667,left,UNMATCHED_EXIT,38,623.24,404.54,,,16.76,11.956,0,0,False,throw-side exit; hand was empty
32,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,883,29.4333,right,UNMATCHED_EXIT,40,579.8,416.02,,,19.59,11.938,0,0,False,throw-side exit; hand was empty
