kind,stem,src,tgt,gap,min_hand_dist,ratio,vshape,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3,qa_verdict,h114_v1_default_fires,h114_v1_strict_fires,rule_a,rule_b,rule_c,fires_any
adjacent_vshape,identical_balls_trick_000_018,45,48,21,82.32,6.904,V_SHALLOW,81.89,508.87,620.79,left,right,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,45,49,27,77.57,6.414,V_SHALLOW,81.89,,551.77,left,,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,46,50,17,19.9,3.157,V_DEEP,19.21,50.3,60.4,right,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,47,53,25,20.33,4.164,V_DEEP,30.51,69.51,257.72,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,51,53,25,16.65,4.483,V_DEEP,,69.51,255.68,,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,53,59,17,40.78,4.952,V_DEEP,56.97,80.19,182.42,right,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,54,58,25,8.51,23.391,V_DEEP,9.61,,120.17,right,,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,54,60,30,8.51,33.41,V_DEEP,9.61,46.85,179.16,right,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,55,56,3,8.9,15.739,V_DEEP,,12.71,115.1,,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,56,58,26,7.11,13.656,V_DEEP,7.01,,226.11,left,,False,REAL,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,56,59,27,7.11,29.519,V_DEEP,7.01,80.19,190.0,left,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,57,61,3,31.47,10.695,V_DEEP,64.07,31.32,50.41,right,right,False,,False,False,False,False,False,False
