frame,L40v2,R40v2,h12_pattern,h12_conf,h41_pattern
449,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
450,0,0,MIXED_3+,0.792,MIXED_3+
451,0,0,TWO_BALL,0.755,TWO_BALL
452,0,0,TWO_BALL,0.755,TWO_BALL
453,0,0,TWO_BALL,0.755,TWO_BALL
454,0,0,TWO_BALL,0.755,TWO_BALL
455,0,0,TWO_BALL,0.755,TWO_BALL
456,0,0,TWO_BALL,0.755,TWO_BALL
457,0,0,TWO_BALL,0.755,TWO_BALL
458,0,0,TWO_BALL,0.755,TWO_BALL
459,1,0,TWO_BALL,0.755,TWO_BALL
460,1,0,TWO_BALL_ONE_HAND,0.755,TWO_BALL_ONE_HAND
461,1,0,TWO_BALL_ONE_HAND,0.887,TWO_BALL_ONE_HAND
462,1,0,TWO_BALL,0.887,TWO_BALL
463,1,0,TWO_BALL,0.887,TWO_BALL
464,1,0,TWO_BALL,0.887,TWO_BALL
465,1,0,TWO_BALL,0.887,TWO_BALL
469,0,0,TWO_BALL,0.887,TWO_BALL
470,0,0,TWO_BALL,0.887,TWO_BALL
473,0,0,SINGLE_BALL,0.908,SINGLE_BALL
474,0,0,SINGLE_BALL,0.908,SINGLE_BALL
475,0,0,SINGLE_BALL,0.908,SINGLE_BALL
476,0,0,SINGLE_BALL,0.908,SINGLE_BALL
479,0,0,SINGLE_BALL,0.908,SINGLE_BALL
481,0,0,SINGLE_BALL,0.908,SINGLE_BALL
482,0,0,SINGLE_BALL,0.908,SINGLE_BALL
483,0,0,SINGLE_BALL,0.908,SINGLE_BALL
484,0,0,SINGLE_BALL,0.908,SINGLE_BALL
485,0,0,SINGLE_BALL,0.908,SINGLE_BALL
486,0,0,SINGLE_BALL,0.908,SINGLE_BALL
487,0,0,SINGLE_BALL,0.908,SINGLE_BALL
488,0,0,SINGLE_BALL,0.908,SINGLE_BALL
495,0,0,SINGLE_BALL,0.908,SINGLE_BALL
501,0,0,SINGLE_BALL,0.908,SINGLE_BALL
502,0,0,SINGLE_BALL,0.908,SINGLE_BALL
503,0,0,SINGLE_BALL,0.908,SINGLE_BALL
504,0,0,SINGLE_BALL,0.908,SINGLE_BALL
506,0,0,SINGLE_BALL,0.908,SINGLE_BALL
507,0,0,TWO_BALL,0.733,TWO_BALL
508,0,0,TWO_BALL,0.733,TWO_BALL
509,0,0,TWO_BALL,0.733,TWO_BALL
510,0,0,TWO_BALL,0.733,TWO_BALL
511,0,0,TWO_BALL,0.733,TWO_BALL
512,0,0,TWO_BALL,0.733,TWO_BALL
517,1,0,TWO_BALL,0.733,TWO_BALL
518,1,0,TWO_BALL,0.733,TWO_BALL
519,1,0,TWO_BALL,0.733,TWO_BALL
520,1,0,TWO_BALL,0.733,TWO_BALL
533,0,0,FOUNTAIN_3+,0.704,FOUNTAIN_3+
534,0,0,MIXED_3+,0.704,MIXED_3+
535,0,0,SINGLE_BALL,0.908,SINGLE_BALL
536,0,0,SINGLE_BALL,0.908,SINGLE_BALL
540,0,0,SINGLE_BALL,0.908,SINGLE_BALL
