pattern_v6,confidence_v6,source,agree,v2_confident,v5_confident,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
TWO_BALL,0.57,agree,True,True,False,136,TWO_BALL,0.639,TWO_BALL,0.5,2,2
TWO_BALL,0.57,agree,True,True,False,137,TWO_BALL,0.639,TWO_BALL,0.5,2,2
CASCADE_3+,0.7,v2+v5_agree,True,True,True,138,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,139,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,140,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,141,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,142,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,143,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,144,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,145,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,146,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,147,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,148,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,149,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
SINGLE_BALL,0.674,agree,True,True,False,150,SINGLE_BALL,0.849,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.674,agree,True,True,False,151,SINGLE_BALL,0.849,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.674,agree,True,True,False,152,SINGLE_BALL,0.849,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.674,agree,True,True,False,153,SINGLE_BALL,0.849,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.674,agree,True,True,False,154,SINGLE_BALL,0.849,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.674,agree,True,True,False,155,SINGLE_BALL,0.849,SINGLE_BALL,0.5,1,1
