frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_recent_events
332,4,0,0,4,0.552,CASCADE_3+,0.552,0
333,4,0,0,4,0.552,CASCADE_3+,0.552,0
334,4,0,0,4,0.552,CASCADE_3+,0.552,0
335,4,0,0,4,0.552,CASCADE_3+,0.552,0
336,4,0,0,4,0.552,CASCADE_3+,0.552,0
337,4,0,0,4,0.552,CASCADE_3+,0.552,0
338,4,0,0,4,0.552,CASCADE_3+,0.552,0
339,5,0,0,5,0.548,CASCADE_3+,0.548,0
340,5,0,0,5,0.548,CASCADE_3+,0.548,0
341,5,0,0,5,0.548,CASCADE_3+,0.548,0
342,5,0,0,5,0.548,CASCADE_3+,0.548,0
343,5,0,0,5,0.548,CASCADE_3+,0.548,0
344,5,0,0,5,0.548,CASCADE_3+,0.548,0
345,5,0,0,5,0.548,CASCADE_3+,0.548,0
346,5,0,0,5,0.548,CASCADE_3+,0.548,0
347,5,0,0,5,0.548,CASCADE_3+,0.548,0
348,5,0,0,5,0.548,CASCADE_3+,0.548,0
349,5,0,0,5,0.548,CASCADE_3+,0.548,0
350,5,0,0,5,0.548,CASCADE_3+,0.548,0
351,5,0,0,5,0.548,CASCADE_3+,0.548,0
352,5,0,0,5,0.548,CASCADE_3+,0.548,0
353,5,0,0,5,0.548,CASCADE_3+,0.548,0
354,5,0,0,5,0.548,CASCADE_3+,0.548,0
355,5,0,0,5,0.548,CASCADE_3+,0.548,0
356,5,0,0,5,0.548,CASCADE_3+,0.548,0
357,5,0,0,5,0.548,CASCADE_3+,0.548,0
358,5,0,0,5,0.548,CASCADE_3+,0.548,0
359,5,0,0,5,0.548,CASCADE_3+,0.548,0
360,5,0,0,5,0.548,CASCADE_3+,0.548,0
361,5,0,0,5,0.548,CASCADE_3+,0.548,0
362,5,0,0,5,0.548,CASCADE_3+,0.548,0
363,5,0,0,5,0.548,CASCADE_3+,0.548,0
364,5,0,0,5,0.548,CASCADE_3+,0.548,0
365,5,0,0,5,0.548,CASCADE_3+,0.548,0
366,5,0,0,5,0.548,CASCADE_3+,0.548,0
367,5,0,0,5,0.548,CASCADE_3+,0.548,0
368,5,0,0,5,0.548,CASCADE_3+,0.548,0
369,5,0,0,5,0.548,CASCADE_3+,0.548,0
370,5,0,0,5,0.548,CASCADE_3+,0.548,0
371,5,0,0,5,0.548,CASCADE_3+,0.548,0
