video,stem,tid,first_frame,last_frame,n_pts,first_x,first_y,last_x,last_y,end_side,end_dist,end_slope,end_samples,end_pose_conf,start_side,start_dist,start_slope,start_samples,start_pose_conf
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,2,22,21,634.75,238.42,661.87,429.09,left,9.76,0.945,5,0.288,right,193.59,-8.544,5,0.288
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,4,2,411,358,585.95,307.61,540.49,465.14,right,6.85,-0.12,5,0.59,right,110.27,13.215,5,0.59
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,5,2,228,205,534.68,378.84,639.02,480.61,left,17.76,1.067,5,0.262,right,32.8,-6.301,5,0.262
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,2,102,96,581.8,214.76,633.63,376.77,left,28.96,-11.657,5,0.691,right,198.72,5.651,5,0.691
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,2,2,72,62,631.0,470.48,554.63,475.4,right,8.16,0.92,5,0.516,left,7.59,2.423,5,0.516
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,6,34,97,59,620.51,453.15,544.33,456.8,right,7.33,0.379,5,0.218,left,5.62,4.637,5,0.218
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,7,58,62,2,573.94,332.04,590.51,317.23,,,,2,,,,,2,
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,8,83,426,311,580.62,390.47,639.03,464.73,left,8.48,1.573,5,0.227,right,38.17,11.375,5,0.227
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,114,256,132,634.85,471.57,631.27,472.94,left,13.47,1.749,5,0.311,left,10.08,-1.015,5,0.311
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,117,238,116,601.23,310.69,553.01,458.71,right,2.24,-4.846,5,0.307,right,117.14,6.827,5,0.307
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,11,247,299,50,601.01,290.23,543.82,475.64,right,12.41,0.507,5,0.416,left,120.71,11.919,5,0.416
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,12,255,309,54,576.65,370.55,649.59,436.73,left,1.07,-0.569,5,0.301,right,48.63,12.164,5,0.301
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,13,267,327,56,612.57,397.14,540.79,478.73,right,16.22,1.536,5,0.316,left,18.7,11.889,5,0.316
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,14,308,375,59,571.06,418.17,624.26,478.07,left,17.73,2.148,5,0.289,right,13.49,10.758,5,0.289
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,329,595,247,605.33,319.93,659.05,434.01,left,6.63,-2.076,5,0.16,left,78.09,13.982,5,0.16
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,16,339,468,126,575.51,403.18,538.86,463.19,right,7.83,0.417,5,0.563,right,21.72,11.721,5,0.563
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,381,582,184,615.71,393.49,549.82,455.9,right,6.74,-4.906,5,0.17,left,21.67,11.313,5,0.17
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,18,420,709,260,568.81,460.87,555.74,484.79,right,27.49,2.321,5,0.154,right,10.38,6.057,5,0.154
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,19,445,498,51,603.97,314.57,544.84,480.67,right,12.89,1.817,5,0.313,left,78.11,12.815,5,0.313
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,466,470,3,535.72,438.02,544.7,464.57,right,5.56,-0.252,3,0.225,right,6.56,-0.252,3,0.225
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,21,482,693,191,581.19,403.46,624.17,476.41,left,18.79,1.79,5,0.541,right,35.34,10.346,5,0.541
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,22,510,644,125,579.3,394.68,544.37,472.45,right,10.58,-0.289,5,0.367,right,34.5,10.521,5,0.367
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,578,578,1,552.95,407.89,552.95,407.89,,,,1,,,,,1,
