frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,n_airborne_tracklets,vx_iqr_px_per_frame,n_distinct_horiz_dirs,pattern,confidence
262,4,0,0,4,4,2.99,2,CASCADE_3+_DETECTOR,0.7
263,4,0,0,4,4,2.48,2,CASCADE_3+_DETECTOR,0.7
264,4,0,0,4,4,1.92,2,CASCADE_3+_DETECTOR,0.7
265,4,0,0,4,4,2.21,2,CASCADE_3+_DETECTOR,0.7
266,4,0,0,4,4,0.63,2,CASCADE_3+_DETECTOR,0.7
267,5,0,0,5,5,1.45,2,CASCADE_3+_DETECTOR,0.7
268,5,0,0,5,5,3.03,2,CASCADE_3+_DETECTOR,0.7
269,5,0,0,5,5,3.1,2,CASCADE_3+_DETECTOR,0.7
270,5,0,0,5,5,3.03,2,CASCADE_3+_DETECTOR,0.7
271,5,0,0,5,5,2.87,2,CASCADE_3+_DETECTOR,0.7
272,5,0,0,5,5,3.31,2,CASCADE_3+_DETECTOR,0.7
273,5,0,0,5,5,3.23,2,CASCADE_3+_DETECTOR,0.7
274,5,0,0,5,5,3.4,2,CASCADE_3+_DETECTOR,0.7
275,5,0,0,5,5,2.76,2,CASCADE_3+_DETECTOR,0.7
276,5,0,0,5,5,2.75,2,CASCADE_3+_DETECTOR,0.7
277,5,0,0,5,5,3.31,2,CASCADE_3+_DETECTOR,0.7
278,5,0,0,5,5,2.73,2,CASCADE_3+_DETECTOR,0.7
279,5,0,0,5,5,2.77,2,CASCADE_3+_DETECTOR,0.7
280,5,0,0,5,5,3.15,2,CASCADE_3+_DETECTOR,0.7
281,5,0,0,5,5,2.66,2,CASCADE_3+_DETECTOR,0.7
282,5,0,0,5,5,2.85,2,CASCADE_3+_DETECTOR,0.7
283,5,0,0,5,5,2.57,2,CASCADE_3+_DETECTOR,0.7
284,5,0,0,5,5,2.85,2,CASCADE_3+_DETECTOR,0.7
285,5,0,0,5,5,2.31,2,CASCADE_3+_DETECTOR,0.7
286,5,0,0,5,5,2.92,2,CASCADE_3+_DETECTOR,0.7
287,5,0,0,5,5,3.0,2,CASCADE_3+_DETECTOR,0.7
288,5,0,0,5,5,3.04,2,CASCADE_3+_DETECTOR,0.7
289,5,0,0,5,5,3.89,2,CASCADE_3+_DETECTOR,0.7
290,5,0,0,5,5,3.03,2,CASCADE_3+_DETECTOR,0.7
291,5,0,0,5,5,2.73,2,CASCADE_3+_DETECTOR,0.7
292,5,0,0,5,5,2.94,2,CASCADE_3+_DETECTOR,0.7
293,5,0,0,5,5,2.83,2,CASCADE_3+_DETECTOR,0.7
294,5,0,0,5,5,2.48,2,CASCADE_3+_DETECTOR,0.7
295,5,0,0,5,5,3.32,2,CASCADE_3+_DETECTOR,0.7
296,5,0,0,5,5,2.91,2,CASCADE_3+_DETECTOR,0.7
297,5,0,0,5,5,2.74,2,CASCADE_3+_DETECTOR,0.7
298,5,0,0,5,5,3.44,2,CASCADE_3+_DETECTOR,0.7
299,5,0,0,5,5,3.48,2,CASCADE_3+_DETECTOR,0.7
300,4,0,0,4,5,2.32,2,CASCADE_3+_DETECTOR,0.7
301,4,0,0,4,5,2.73,2,CASCADE_3+_DETECTOR,0.7
302,4,0,0,4,5,3.13,2,CASCADE_3+_DETECTOR,0.7
303,4,0,0,4,5,2.43,2,CASCADE_3+_DETECTOR,0.7
304,4,0,0,4,5,2.76,2,CASCADE_3+_DETECTOR,0.7
305,4,0,0,4,4,3.06,2,CASCADE_3+_DETECTOR,0.7
306,4,0,0,4,4,2.67,2,CASCADE_3+_DETECTOR,0.7
307,4,0,0,4,4,2.84,2,CASCADE_3+_DETECTOR,0.7
308,5,0,0,5,5,1.47,2,CASCADE_3+_DETECTOR,0.7
309,5,0,0,5,5,3.82,2,CASCADE_3+_DETECTOR,0.7
310,4,0,0,4,5,3.19,2,CASCADE_3+_DETECTOR,0.7
311,4,0,0,4,5,2.84,2,CASCADE_3+_DETECTOR,0.7
312,4,0,0,4,5,2.64,2,CASCADE_3+_DETECTOR,0.7
313,4,0,0,4,5,3.23,2,CASCADE_3+_DETECTOR,0.7
314,4,0,0,4,5,2.75,2,CASCADE_3+_DETECTOR,0.7
315,4,0,0,4,4,3.54,2,CASCADE_3+_DETECTOR,0.7
316,4,0,0,4,4,3.26,2,CASCADE_3+_DETECTOR,0.7
317,4,0,0,4,4,2.88,2,CASCADE_3+_DETECTOR,0.7
