frame,L40v2,R40v2,h12_pattern,h12_conf
596,1,1,MIXED_3+,0.696
597,1,0,MIXED_3+,0.696
598,1,0,MIXED_3+,0.696
599,0,0,TWO_BALL,0.602
600,0,0,TWO_BALL,0.602
603,0,0,TWO_BALL,0.602
604,0,0,TWO_BALL,0.602
605,0,0,TWO_BALL,0.602
606,0,0,TWO_BALL,0.602
607,0,0,TWO_BALL,0.602
608,0,0,TWO_BALL,0.602
609,0,0,SINGLE_BALL,0.645
610,0,0,SINGLE_BALL,0.645
611,0,0,SINGLE_BALL,0.645
612,0,0,SINGLE_BALL,0.645
613,0,0,SINGLE_BALL,0.645
614,0,0,SINGLE_BALL,0.645
615,0,0,SINGLE_BALL,0.645
616,0,0,SINGLE_BALL,0.645
617,0,0,SINGLE_BALL,0.645
618,0,0,SINGLE_BALL,0.645
619,0,0,SINGLE_BALL,0.645
620,0,0,SINGLE_BALL,0.645
621,0,0,TWO_BALL,0.602
622,0,0,TWO_BALL_ONE_HAND,0.602
623,1,0,TWO_BALL,0.792
624,1,0,TWO_BALL,0.792
625,1,0,TWO_BALL,0.792
626,1,0,TWO_BALL,0.792
627,0,0,TWO_BALL,0.792
628,0,0,TWO_BALL,0.792
629,0,0,TWO_BALL,0.792
630,0,0,TWO_BALL,0.792
631,1,1,FOUNTAIN_3+,0.714
632,1,1,FOUNTAIN_3+,0.714
633,1,1,FOUNTAIN_3+,0.714
634,1,1,FOUNTAIN_3+,0.714
635,1,1,FOUNTAIN_3+,0.714
636,1,1,FOUNTAIN_3+,0.714
637,1,1,FOUNTAIN_3+,0.714
638,1,1,FOUNTAIN_3+,0.714
639,1,1,FOUNTAIN_3+,0.714
640,1,1,FOUNTAIN_3+,0.714
641,1,1,FOUNTAIN_3+,0.714
642,1,1,FOUNTAIN_3+,0.714
643,1,1,FOUNTAIN_3+,0.714
644,1,1,FOUNTAIN_3+,0.714
645,1,1,FOUNTAIN_3+,0.714
646,1,1,FOUNTAIN_3+,0.714
647,1,1,FOUNTAIN_3+,0.714
648,1,1,FOUNTAIN_3+,0.714
649,1,1,FOUNTAIN_3+,0.714
650,1,1,FOUNTAIN_3+,0.714
651,1,1,FOUNTAIN_3+,0.714
652,1,1,FOUNTAIN_3+,0.714
653,1,1,FOUNTAIN_3+,0.714
654,1,1,FOUNTAIN_3+,0.714
655,0,0,FOUNTAIN_3+,0.714
656,0,0,FOUNTAIN_3+,0.714
657,0,0,FOUNTAIN_3+,0.714
658,0,0,FOUNTAIN_3+,0.714
659,0,0,FOUNTAIN_3+,0.714
660,0,0,FOUNTAIN_3+,0.714
661,0,0,FOUNTAIN_3+,0.714
662,1,0,FOUNTAIN_3+,0.714
663,1,0,FOUNTAIN_3+,0.714
664,1,0,FOUNTAIN_3+,0.714
665,1,0,FOUNTAIN_3+,0.714
666,1,0,FOUNTAIN_3+,0.714
667,1,0,FOUNTAIN_3+,0.714
668,1,0,FOUNTAIN_3+,0.714
669,1,0,FOUNTAIN_3+,0.714
670,1,0,MIXED_3+,0.714
671,0,0,TWO_BALL,0.792
672,0,0,TWO_BALL,0.792
673,0,0,TWO_BALL,0.792
674,0,0,TWO_BALL,0.792
675,0,0,TWO_BALL,0.792
676,0,0,TWO_BALL_ONE_HAND,0.792
677,0,0,SINGLE_BALL,0.938
678,0,0,SINGLE_BALL,0.938
679,0,0,TWO_BALL_ONE_HAND,0.748
