frame,pattern,confidence,new_pattern
328,MIXED_3+,0.628,MIXED_3+
329,MIXED_3+,0.64,MIXED_3+
330,MIXED_3+,0.64,MIXED_3+
331,MIXED_3+,0.64,MIXED_3+
332,MIXED_3+,0.64,MIXED_3+
333,MIXED_3+,0.64,MIXED_3+
334,MIXED_3+,0.64,MIXED_3+
335,MIXED_3+,0.64,MIXED_3+
336,MIXED_3+,0.64,MIXED_3+
337,MIXED_3+,0.64,MIXED_3+
338,MIXED_3+,0.64,MIXED_3+
339,FOUNTAIN_3+,0.646,FOUNTAIN_3+
340,FOUNTAIN_3+,0.646,FOUNTAIN_3+
341,FOUNTAIN_3+,0.646,FOUNTAIN_3+
342,FOUNTAIN_3+,0.646,FOUNTAIN_3+
343,FOUNTAIN_3+,0.646,FOUNTAIN_3+
344,FOUNTAIN_3+,0.646,FOUNTAIN_3+
345,FOUNTAIN_3+,0.646,FOUNTAIN_3+
346,FOUNTAIN_3+,0.646,FOUNTAIN_3+
347,FOUNTAIN_3+,0.646,FOUNTAIN_3+
348,FOUNTAIN_3+,0.646,FOUNTAIN_3+
349,FOUNTAIN_3+,0.646,FOUNTAIN_3+
350,FOUNTAIN_3+,0.646,FOUNTAIN_3+
351,FOUNTAIN_3+,0.646,FOUNTAIN_3+
352,FOUNTAIN_3+,0.646,FOUNTAIN_3+
353,FOUNTAIN_3+,0.646,FOUNTAIN_3+
354,FOUNTAIN_3+,0.646,FOUNTAIN_3+
355,FOUNTAIN_3+,0.646,FOUNTAIN_3+
356,FOUNTAIN_3+,0.646,FOUNTAIN_3+
357,FOUNTAIN_3+,0.646,FOUNTAIN_3+
358,FOUNTAIN_3+,0.646,FOUNTAIN_3+
359,FOUNTAIN_3+,0.646,FOUNTAIN_3+
360,FOUNTAIN_3+,0.646,FOUNTAIN_3+
361,FOUNTAIN_3+,0.646,FOUNTAIN_3+
362,FOUNTAIN_3+,0.646,FOUNTAIN_3+
363,FOUNTAIN_3+,0.646,FOUNTAIN_3+
364,FOUNTAIN_3+,0.646,FOUNTAIN_3+
365,FOUNTAIN_3+,0.646,FOUNTAIN_3+
366,FOUNTAIN_3+,0.646,FOUNTAIN_3+
367,FOUNTAIN_3+,0.646,FOUNTAIN_3+
368,FOUNTAIN_3+,0.646,FOUNTAIN_3+
369,FOUNTAIN_3+,0.646,FOUNTAIN_3+
370,FOUNTAIN_3+,0.646,FOUNTAIN_3+
371,FOUNTAIN_3+,0.646,FOUNTAIN_3+
372,FOUNTAIN_3+,0.646,FOUNTAIN_3+
373,FOUNTAIN_3+,0.646,FOUNTAIN_3+
374,FOUNTAIN_3+,0.646,FOUNTAIN_3+
375,MIXED_3+,0.646,MIXED_3+
376,MIXED_3+,0.654,MIXED_3+
377,MIXED_3+,0.654,MIXED_3+
378,MIXED_3+,0.654,MIXED_3+
379,MIXED_3+,0.654,MIXED_3+
380,MIXED_3+,0.654,MIXED_3+
381,MIXED_3+,0.646,MIXED_3+
382,MIXED_3+,0.646,MIXED_3+
383,MIXED_3+,0.646,MIXED_3+
384,MIXED_3+,0.646,MIXED_3+
385,MIXED_3+,0.646,MIXED_3+
386,MIXED_3+,0.646,MIXED_3+
387,MIXED_3+,0.646,MIXED_3+
388,MIXED_3+,0.646,MIXED_3+
389,MIXED_3+,0.646,MIXED_3+
390,MIXED_3+,0.646,MIXED_3+
391,MIXED_3+,0.646,MIXED_3+
392,MIXED_3+,0.646,MIXED_3+
