frame,pattern,confidence,n_window_events,n_far,n_ambig,n_low_slope,guard_passed,guard_reason
323,TWO_BALL,0.5,4,0,0,0,True,ok
324,TWO_BALL,0.5,4,0,0,0,True,ok
325,TWO_BALL,0.5,4,0,0,0,True,ok
326,TWO_BALL,0.5,4,0,0,0,True,ok
327,TWO_BALL,0.5,4,0,0,0,True,ok
328,TWO_BALL,0.5,4,0,0,0,True,ok
329,SINGLE_BALL,0.5,4,0,0,0,True,ok
330,SINGLE_BALL,0.5,4,0,0,0,True,ok
331,SINGLE_BALL,0.5,4,0,0,0,True,ok
332,SINGLE_BALL,0.5,4,0,0,0,True,ok
333,TWO_BALL,0.5,4,0,0,0,True,ok
334,TWO_BALL,0.5,4,0,0,0,True,ok
335,SINGLE_BALL,0.5,4,0,0,0,True,ok
336,SINGLE_BALL,0.5,4,0,0,0,True,ok
337,SINGLE_BALL,0.5,4,0,0,0,True,ok
338,SINGLE_BALL,0.5,4,0,0,0,True,ok
339,SINGLE_BALL,0.5,4,0,0,0,True,ok
340,SINGLE_BALL,0.5,4,0,0,0,True,ok
341,SINGLE_BALL,0.5,4,0,0,0,True,ok
342,SINGLE_BALL,0.5,4,0,0,0,True,ok
343,SINGLE_BALL,0.5,4,0,0,0,True,ok
344,SINGLE_BALL,0.5,4,0,0,0,True,ok
345,SINGLE_BALL,0.5,4,0,0,0,True,ok
346,SINGLE_BALL,0.5,4,0,0,0,True,ok
347,SINGLE_BALL,0.5,4,0,0,0,True,ok
348,SINGLE_BALL,0.5,4,0,0,0,True,ok
349,SINGLE_BALL,0.5,4,0,0,0,True,ok
350,SINGLE_BALL,0.5,4,0,0,0,True,ok
351,SINGLE_BALL,0.5,4,0,0,0,True,ok
352,SINGLE_BALL,0.5,4,0,0,0,True,ok
353,SINGLE_BALL,0.5,4,0,0,0,True,ok
354,SINGLE_BALL,0.5,4,0,0,0,True,ok
355,SINGLE_BALL,0.5,4,0,0,0,True,ok
356,SINGLE_BALL,0.5,4,0,0,0,True,ok
357,SINGLE_BALL,0.5,4,0,0,0,True,ok
358,SINGLE_BALL,0.5,4,0,0,0,True,ok
359,SINGLE_BALL,0.5,4,0,0,0,True,ok
360,SINGLE_BALL,0.5,4,0,0,0,True,ok
361,SINGLE_BALL,0.5,4,0,0,0,True,ok
362,SINGLE_BALL,0.5,4,0,0,0,True,ok
363,SINGLE_BALL,0.5,4,0,0,0,True,ok
364,SINGLE_BALL,0.5,4,0,0,0,True,ok
365,SINGLE_BALL,0.5,4,0,0,0,True,ok
366,SINGLE_BALL,0.5,4,0,0,0,True,ok
367,SINGLE_BALL,0.5,4,0,0,0,True,ok
368,SINGLE_BALL,0.5,4,0,0,0,True,ok
369,SINGLE_BALL,0.5,4,0,0,0,True,ok
370,SINGLE_BALL,0.5,4,0,0,0,True,ok
371,SINGLE_BALL,0.5,4,0,0,0,True,ok
372,SINGLE_BALL,0.5,4,0,0,0,True,ok
373,SINGLE_BALL,0.5,4,0,0,0,True,ok
