frame,h50_pattern,h50_confidence,h68_pattern,h43_rejected,h66_rejected,h68_rejected
302,CASCADE_3+,0.695,CASCADE_3+,no,no,no
303,CASCADE_3+,0.695,CASCADE_3+,no,no,no
304,CASCADE_3+,0.695,CASCADE_3+,no,no,no
305,CASCADE_3+,0.695,CASCADE_3+,no,no,no
306,CASCADE_3+,0.695,CASCADE_3+,no,no,no
307,CASCADE_3+,0.695,CASCADE_3+,no,no,no
308,MIXED_3+,0.679,MIXED_3+,no,no,no
309,MIXED_3+,0.679,MIXED_3+,no,no,no
310,MIXED_3+,0.639,MIXED_3+,no,no,no
311,MIXED_3+,0.639,MIXED_3+,no,no,no
312,MIXED_3+,0.639,MIXED_3+,no,no,no
313,MIXED_3+,0.639,MIXED_3+,no,no,no
314,MIXED_3+,0.639,MIXED_3+,no,no,no
315,MIXED_3+,0.639,MIXED_3+,no,no,no
316,MIXED_3+,0.639,MIXED_3+,no,no,no
317,MIXED_3+,0.639,MIXED_3+,no,no,no
318,MIXED_3+,0.639,MIXED_3+,no,no,no
319,MIXED_3+,0.639,MIXED_3+,no,no,no
320,MIXED_3+,0.639,MIXED_3+,no,no,no
321,MIXED_3+,0.639,MIXED_3+,no,no,no
322,MIXED_3+,0.639,MIXED_3+,no,no,no
323,MIXED_3+,0.639,MIXED_3+,no,no,no
324,MIXED_3+,0.639,MIXED_3+,no,no,no
325,MIXED_3+,0.639,MIXED_3+,no,no,no
326,MIXED_3+,0.639,MIXED_3+,no,no,no
327,MIXED_3+,0.639,MIXED_3+,no,no,no
328,MIXED_3+,0.628,MIXED_3+,no,no,no
329,MIXED_3+,0.640,MIXED_3+,no,no,no
330,MIXED_3+,0.640,MIXED_3+,no,no,no
331,MIXED_3+,0.640,MIXED_3+,no,no,no
332,MIXED_3+,0.640,MIXED_3+,no,no,no
333,MIXED_3+,0.640,MIXED_3+,no,no,no
334,MIXED_3+,0.640,MIXED_3+,no,no,no
335,MIXED_3+,0.640,MIXED_3+,no,no,no
336,MIXED_3+,0.640,MIXED_3+,no,no,no
337,MIXED_3+,0.640,MIXED_3+,no,no,no
338,MIXED_3+,0.640,MIXED_3+,no,no,no
339,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
340,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
341,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
342,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
343,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
344,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
345,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
346,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
347,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
348,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
349,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
350,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
351,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
352,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
353,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
354,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
355,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
356,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
357,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
358,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
359,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
360,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
361,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
362,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
363,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
364,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
365,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
366,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
367,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
368,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
369,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
370,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
371,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
372,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
373,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
374,FOUNTAIN_3+,0.646,FOUNTAIN_3+,no,no,no
375,MIXED_3+,0.646,MIXED_3+,no,no,no
376,MIXED_3+,0.654,MIXED_3+,no,no,no
377,MIXED_3+,0.654,MIXED_3+,no,no,no
378,MIXED_3+,0.654,MIXED_3+,no,no,no
379,MIXED_3+,0.654,MIXED_3+,no,no,no
380,MIXED_3+,0.654,MIXED_3+,no,no,no
381,MIXED_3+,0.646,MIXED_3+,no,no,no
382,MIXED_3+,0.646,MIXED_3+,no,no,no
383,MIXED_3+,0.646,MIXED_3+,no,no,no
384,MIXED_3+,0.646,MIXED_3+,no,no,no
385,MIXED_3+,0.646,MIXED_3+,no,no,no
386,MIXED_3+,0.646,MIXED_3+,no,no,no
387,MIXED_3+,0.646,MIXED_3+,no,no,no
388,MIXED_3+,0.646,MIXED_3+,no,no,no
389,MIXED_3+,0.646,MIXED_3+,no,no,no
390,MIXED_3+,0.646,MIXED_3+,no,no,no
391,MIXED_3+,0.646,MIXED_3+,no,no,no
392,MIXED_3+,0.646,MIXED_3+,no,no,no
393,MIXED_3+,0.646,MIXED_3+,no,no,no
394,MIXED_3+,0.646,MIXED_3+,no,no,no
395,MIXED_3+,0.646,MIXED_3+,no,no,no
396,MIXED_3+,0.646,MIXED_3+,no,no,no
397,MIXED_3+,0.646,MIXED_3+,no,no,no
398,MIXED_3+,0.646,MIXED_3+,no,no,no
399,MIXED_3+,0.646,MIXED_3+,no,no,no
400,MIXED_3+,0.646,MIXED_3+,no,no,no
401,MIXED_3+,0.646,MIXED_3+,no,no,no
402,MIXED_3+,0.646,MIXED_3+,no,no,no
403,MIXED_3+,0.646,MIXED_3+,no,no,no
