frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,h43_pattern
279,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
280,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
281,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
282,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
283,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
284,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
285,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
286,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
287,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
288,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
289,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
290,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
291,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
292,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
293,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
294,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
295,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
296,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
297,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
298,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
299,5,0,1,5,0.682,CASCADE_3+,0.682,CASCADE_3+
300,4,0,0,4,0.698,CASCADE_3+,0.698,CASCADE_3+
301,4,0,0,4,0.698,CASCADE_3+,0.698,CASCADE_3+
302,4,0,0,4,0.698,CASCADE_3+,0.698,CASCADE_3+
303,4,0,0,4,0.698,CASCADE_3+,0.698,CASCADE_3+
304,4,0,0,4,0.698,CASCADE_3+,0.698,CASCADE_3+
305,4,0,0,4,0.698,CASCADE_3+,0.698,CASCADE_3+
306,4,0,0,4,0.698,CASCADE_3+,0.698,CASCADE_3+
307,4,0,0,4,0.698,CASCADE_3+,0.698,CASCADE_3+
308,5,0,1,5,0.682,MIXED_3+,0.682,MIXED_3+
309,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
310,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
311,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
312,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
