frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,n_airborne_tracklets,vx_iqr_px_per_frame,n_distinct_horiz_dirs,pattern,confidence
348,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
349,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
350,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
351,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
352,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
353,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
354,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
355,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
356,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
357,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
358,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
359,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
360,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
361,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
362,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
363,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
364,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
365,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
366,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
367,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
368,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
369,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
370,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
371,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
372,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
373,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
374,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
375,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
376,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
377,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
378,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
379,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
380,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
381,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
382,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
383,0,0,0,0,1,0.0,0,NO_BALL,1.0
384,0,0,0,0,1,0.0,0,NO_BALL,1.0
385,0,0,0,0,1,0.0,0,NO_BALL,1.0
386,0,0,0,0,1,0.0,0,NO_BALL,1.0
387,0,0,0,0,1,0.0,0,NO_BALL,1.0
388,0,0,0,0,0,0.0,0,NO_BALL,0.0
389,0,0,0,0,0,0.0,0,NO_BALL,0.0
390,0,0,0,0,0,0.0,0,NO_BALL,0.0
391,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
