kind,stem,from_tid,to_tid,gap,vshape,min_hand_dist,ratio,which_hand,in_h7v2,apex_frame,apex_x,apex_y,src_to_apex_dy,tgt_to_apex_dy,src_to_apex_dist,tgt_to_apex_dist,src_above,tgt_above,both_above,src_descending,tgt_ascending,h30_pass,h30_catch_ok,h30_throw_ok
adjacent,identical_balls_trick_000_018,66,68,5,V_DEEP,10.86,19.129,left,False,970,725.3,531.5,-27.4,137.2,42.8,213.9,True,False,False,False,True,True,True,False
adjacent,identical_balls_trick_000_018,66,69,12,V_DEEP,18.3,9.55,left,False,975,689.9,500.1,4.0,-4.0,68.3,68.3,False,False,False,False,False,False,False,False
adjacent,identical_balls_trick_000_018,67,72,9,V_DEEP,26.14,11.886,left,False,1029,704.7,473.7,-276.2,0.0,279.8,0.0,True,False,False,False,False,True,True,False
adjacent,identical_balls_trick_000_018,67,71,9,V_DEEP,20.36,19.756,right,False,1030,520.3,513.4,-315.8,28.4,345.2,28.5,True,False,False,False,True,True,True,False
adjacent,identical_balls_trick_000_018,68,70,14,V_DEEP,12.95,21.896,right,False,1015,507.2,578.0,162.5,-279.2,162.6,315.4,False,True,False,True,True,True,False,True
adjacent,identical_balls_trick_000_018,68,72,14,V_DEEP,12.95,16.569,right,False,1015,507.2,578.0,162.5,-104.2,162.6,223.3,False,True,False,True,False,True,False,True
adjacent,identical_balls_trick_000_018,69,72,18,V_DEEP,26.14,6.064,left,False,1029,704.7,473.7,-43.7,0.0,79.9,0.0,True,False,False,False,False,True,True,False
adjacent,identical_balls_trick_000_018,69,71,18,V_DEEP,20.36,15.447,right,False,1030,520.3,513.4,-83.3,28.4,264.8,28.5,True,False,False,False,True,True,True,False
adjacent,identical_balls_trick_000_018,70,73,4,V_DEEP,21.49,8.735,left,False,1056,711.3,496.4,7.0,-35.2,35.1,175.3,False,True,False,True,False,True,False,True
adjacent,identical_balls_trick_000_018,70,75,20,V_DEEP,22.21,3.341,left,False,1055,745.7,503.4,0.0,8.1,0.0,133.8,False,False,False,True,False,False,False,False
adjacent,identical_balls_trick_000_018,72,74,6,V_DEEP,30.89,9.946,right,False,1056,497.9,466.5,16.2,-81.0,45.4,227.0,False,True,False,False,False,True,False,True
adjacent,identical_balls_trick_000_018,73,75,10,V_DEEP,35.2,3.474,left,False,1060,749.5,453.6,-4.3,57.9,158.5,142.0,False,False,False,False,False,False,False,False
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,15,V_DEEP,8.19,19.604,left,False,107,638.3,432.7,0.0,-122.0,0.0,127.5,False,True,False,True,True,True,False,True
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,7,8,21,V_DEEP,38.51,3.397,right,False,83,580.6,390.5,-79.2,0.0,80.4,0.0,True,False,False,False,True,True,True,False
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,8,19,19,V_DEEP,11.39,13.734,left,False,426,639.0,464.7,45.9,-150.2,46.2,154.2,False,True,False,True,True,True,False,True
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,9,V_DEEP,4.69,38.56,right,False,236,554.0,439.7,51.3,-149.4,51.4,156.7,False,True,False,True,True,True,False,True
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,13,29,V_DEEP,4.69,32.169,right,False,236,554.0,439.7,51.3,-42.5,51.4,72.4,False,True,False,True,True,True,False,True
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,12,15,20,V_DEEP,6.86,23.297,left,False,309,649.6,436.7,47.3,-116.8,47.4,124.9,False,True,False,True,True,True,False,True
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,25,24,V_DEEP,4.56,21.365,right,False,580,549.9,439.2,47.4,17.5,47.5,78.1,False,False,False,True,True,False,False,False
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,12,V_DEEP,5.32,17.308,right,False,469,539.5,455.1,29.0,-51.6,31.6,66.4,False,True,False,True,True,True,False,True
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,13,V_DEEP,7.8,4.276,right,False,589,561.8,453.3,-38.5,19.3,39.5,19.7,True,False,False,False,False,True,True,False
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,25,28,V_DEEP,10.42,8.167,left,False,608,621.6,437.5,-22.7,19.2,72.1,19.7,True,False,False,False,True,True,True,False
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,26,3,V_DEEP,1.06,133.217,left,False,654,646.1,437.3,40.8,-38.5,40.9,78.6,False,True,False,False,True,True,False,True
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,27,17,V_DEEP,1.06,24.88,left,False,654,646.1,437.3,40.8,-34.5,40.9,44.7,False,True,False,False,False,True,False,True
