frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total_balls,balls_in_hand,balls_in_air,avg_chain_quality
352,5,0,0,5,,c0|c1|c3|c7|c8,0.548
353,5,0,0,5,,c0|c1|c3|c7|c8,0.548
354,5,0,0,5,,c0|c1|c3|c7|c8,0.548
355,5,0,0,5,,c0|c1|c3|c7|c8,0.548
356,5,0,0,5,,c0|c1|c3|c7|c8,0.548
357,5,0,0,5,,c0|c1|c3|c7|c8,0.548
358,5,0,0,5,,c0|c1|c3|c7|c8,0.548
359,5,0,0,5,,c0|c1|c3|c7|c8,0.548
360,5,0,0,5,,c0|c1|c3|c7|c8,0.548
361,5,0,0,5,,c0|c1|c3|c7|c8,0.548
362,5,0,0,5,,c0|c1|c3|c7|c8,0.548
363,5,0,0,5,,c0|c1|c3|c7|c8,0.548
364,5,0,0,5,,c0|c1|c3|c7|c8,0.548
365,5,0,0,5,,c0|c1|c3|c7|c8,0.548
366,5,0,0,5,,c0|c1|c3|c7|c8,0.548
367,5,0,0,5,,c0|c1|c3|c7|c8,0.548
368,5,0,0,5,,c0|c1|c3|c7|c8,0.548
369,5,0,0,5,,c0|c1|c3|c7|c8,0.548
370,5,0,0,5,,c0|c1|c3|c7|c8,0.548
371,5,0,0,5,,c0|c1|c3|c7|c8,0.548
372,5,0,0,5,,c0|c1|c3|c7|c8,0.548
373,5,0,0,5,,c0|c1|c3|c7|c8,0.548
374,5,0,0,5,,c0|c1|c3|c7|c8,0.548
375,5,0,0,5,,c0|c1|c3|c7|c8,0.548
376,4,0,0,4,,c0|c1|c3|c8,0.550
377,4,0,0,4,,c0|c1|c3|c8,0.550
378,4,0,0,4,,c0|c1|c3|c8,0.550
379,4,0,0,4,,c0|c1|c3|c8,0.550
380,4,0,0,4,,c0|c1|c3|c8,0.550
381,5,0,0,5,,c0|c1|c3|c7|c8,0.548
382,5,0,0,5,,c0|c1|c3|c7|c8,0.548
383,5,0,0,5,,c0|c1|c3|c7|c8,0.548
384,5,0,0,5,,c0|c1|c3|c7|c8,0.548
385,5,0,0,5,,c0|c1|c3|c7|c8,0.548
386,5,0,0,5,,c0|c1|c3|c7|c8,0.548
387,5,0,0,5,,c0|c1|c3|c7|c8,0.548
388,5,0,0,5,,c0|c1|c3|c7|c8,0.548
389,5,0,0,5,,c0|c1|c3|c7|c8,0.548
390,5,0,0,5,,c0|c1|c3|c7|c8,0.548
391,5,0,0,5,,c0|c1|c3|c7|c8,0.548
392,5,0,0,5,,c0|c1|c3|c7|c8,0.548
393,5,0,0,5,,c0|c1|c3|c7|c8,0.548
394,5,0,0,5,,c0|c1|c3|c7|c8,0.548
395,5,0,0,5,,c0|c1|c3|c7|c8,0.548
396,5,0,0,5,,c0|c1|c3|c7|c8,0.548
397,5,0,0,5,,c0|c1|c3|c7|c8,0.548
398,5,0,0,5,,c0|c1|c3|c7|c8,0.548
399,5,0,0,5,,c0|c1|c3|c7|c8,0.548
400,5,0,0,5,,c0|c1|c3|c7|c8,0.548
401,5,0,0,5,,c0|c1|c3|c7|c8,0.548
402,5,0,0,5,,c0|c1|c3|c7|c8,0.548
403,5,0,0,5,,c0|c1|c3|c7|c8,0.548
404,5,0,0,5,,c0|c1|c3|c7|c8,0.548
405,5,0,0,5,,c0|c1|c3|c7|c8,0.548
406,5,0,0,5,,c0|c1|c3|c7|c8,0.548
407,5,0,0,5,,c0|c1|c3|c7|c8,0.548
408,5,0,0,5,,c0|c1|c3|c7|c8,0.548
409,5,0,0,5,,c0|c1|c3|c7|c8,0.548
410,5,0,0,5,,c0|c1|c3|c7|c8,0.548
411,5,0,0,5,,c0|c1|c3|c7|c8,0.548
412,4,0,0,4,,c0|c1|c7|c8,0.546
413,4,0,0,4,,c0|c1|c7|c8,0.546
414,4,0,0,4,,c0|c1|c7|c8,0.546
415,4,0,0,4,,c0|c1|c7|c8,0.546
416,4,0,0,4,,c0|c1|c7|c8,0.546
417,4,0,0,4,,c0|c1|c7|c8,0.546
418,4,0,0,4,,c0|c1|c7|c8,0.546
419,4,0,0,4,,c0|c1|c7|c8,0.546
420,5,0,0,5,,c0|c1|c3|c7|c8,0.548
421,5,0,0,5,,c0|c1|c3|c7|c8,0.548
422,5,0,0,5,,c0|c1|c3|c7|c8,0.548
423,5,0,0,5,,c0|c1|c3|c7|c8,0.548
424,5,0,0,5,,c0|c1|c3|c7|c8,0.548
425,5,0,0,5,,c0|c1|c3|c7|c8,0.548
426,5,0,0,5,,c0|c1|c3|c7|c8,0.548
427,4,0,0,4,,c0|c3|c7|c8,0.546
428,4,0,0,4,,c0|c3|c7|c8,0.546
429,4,0,0,4,,c0|c3|c7|c8,0.546
430,4,0,0,4,,c0|c3|c7|c8,0.546
431,4,0,0,4,,c0|c3|c7|c8,0.546
432,4,0,0,4,,c0|c3|c7|c8,0.546
433,4,0,0,4,,c0|c3|c7|c8,0.546
434,4,0,0,4,,c0|c3|c7|c8,0.546
435,4,0,0,4,,c0|c3|c7|c8,0.546
436,4,0,0,4,,c0|c3|c7|c8,0.546
437,4,0,0,4,,c0|c3|c7|c8,0.546
438,4,0,0,4,,c0|c3|c7|c8,0.546
439,4,0,0,4,,c0|c3|c7|c8,0.546
440,4,0,0,4,,c0|c3|c7|c8,0.546
441,4,0,0,4,,c0|c3|c7|c8,0.546
442,4,0,0,4,,c0|c3|c7|c8,0.546
443,4,0,0,4,,c0|c3|c7|c8,0.546
444,4,0,0,4,,c0|c3|c7|c8,0.546
445,5,0,0,5,,c0|c3|c7|c8|c9,0.538
446,5,0,0,5,,c0|c3|c7|c8|c9,0.538
447,5,0,0,5,,c0|c3|c7|c8|c9,0.538
448,5,0,0,5,,c0|c3|c7|c8|c9,0.538
449,5,0,0,5,,c0|c3|c7|c8|c9,0.538
450,5,0,0,5,,c0|c3|c7|c8|c9,0.538
451,5,0,0,5,,c0|c3|c7|c8|c9,0.538
452,5,0,0,5,,c0|c3|c7|c8|c9,0.538
453,5,0,0,5,,c0|c3|c7|c8|c9,0.538
454,5,0,0,5,,c0|c3|c7|c8|c9,0.538
455,5,0,0,5,,c0|c3|c7|c8|c9,0.538
456,5,0,0,5,,c0|c3|c7|c8|c9,0.538
457,5,0,0,5,,c0|c3|c7|c8|c9,0.538
458,5,0,0,5,,c0|c3|c7|c8|c9,0.538
459,5,0,0,5,,c0|c3|c7|c8|c9,0.538
460,5,0,0,5,,c0|c3|c7|c8|c9,0.538
461,5,0,0,5,,c0|c3|c7|c8|c9,0.538
462,5,0,0,5,,c0|c3|c7|c8|c9,0.538
463,5,0,0,5,,c0|c3|c7|c8|c9,0.538
464,5,0,0,5,,c0|c3|c7|c8|c9,0.538
465,5,0,0,5,,c0|c3|c7|c8|c9,0.538
466,6,0,0,6,,c0|c3|c7|c8|c9|c10,0.538
467,6,0,0,6,,c0|c3|c7|c8|c9|c10,0.538
468,6,0,0,6,,c0|c3|c7|c8|c9|c10,0.538
469,5,0,0,5,,c3|c7|c8|c9|c10,0.539
470,5,0,0,5,,c3|c7|c8|c9|c10,0.539
471,4,0,0,4,,c3|c7|c8|c9,0.539
472,4,0,0,4,,c3|c7|c8|c9,0.539
473,4,0,0,4,,c3|c7|c8|c9,0.539
474,4,0,0,4,,c3|c7|c8|c9,0.539
