frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39_pattern,h39_rejected
130,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
131,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
132,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
133,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
134,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
135,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
136,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
137,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
138,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
139,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
140,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
141,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
142,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
143,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
144,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
145,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
146,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
147,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
148,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
149,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
150,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
151,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
152,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
153,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
154,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
155,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
156,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
157,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
158,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
