frame,n_in_hand_left,n_in_hand_right,n_total,instant_dirs,smoothed_dirs,pattern,confidence
297,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
298,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
299,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
300,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
301,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
302,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
303,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
304,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
305,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
306,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
307,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
308,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
309,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
310,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
311,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
312,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
313,0,0,2,1,1,TWO_BALL,0.5
314,0,0,2,1,1,TWO_BALL,0.5
315,0,0,2,1,1,TWO_BALL,0.5
316,0,0,2,1,1,TWO_BALL,0.5
317,0,0,2,2,1,TWO_BALL,0.5
318,0,0,2,1,1,TWO_BALL,0.5
319,0,0,2,2,1,TWO_BALL,0.5
320,0,0,2,1,1,TWO_BALL,0.5
321,0,0,2,2,1,TWO_BALL,0.5
322,0,0,2,1,1,TWO_BALL,0.5
323,0,0,2,1,1,TWO_BALL,0.5
324,0,0,2,1,1,TWO_BALL,0.5
325,0,0,2,1,1,TWO_BALL,0.5
326,0,0,2,1,1,TWO_BALL,0.5
327,0,0,2,1,1,TWO_BALL,0.5
328,0,0,2,1,1,TWO_BALL,0.5
329,0,0,1,1,1,SINGLE_BALL,0.5
330,0,0,1,1,1,SINGLE_BALL,0.5
331,0,0,1,1,1,SINGLE_BALL,0.5
332,0,0,1,0,1,SINGLE_BALL,0.5
333,0,0,2,1,1,TWO_BALL,0.5
334,0,0,2,0,1,TWO_BALL,0.5
335,0,0,1,1,1,SINGLE_BALL,0.5
336,0,0,1,1,1,SINGLE_BALL,0.5
337,0,0,1,1,1,SINGLE_BALL,0.5
338,0,0,1,1,0,SINGLE_BALL,0.5
339,0,0,1,1,0,SINGLE_BALL,0.5
340,0,0,1,0,0,SINGLE_BALL,0.5
341,0,0,1,0,0,SINGLE_BALL,0.5
342,0,0,1,0,0,SINGLE_BALL,0.5
343,0,0,1,0,0,SINGLE_BALL,0.5
344,0,0,1,0,0,SINGLE_BALL,0.5
345,0,0,1,0,0,SINGLE_BALL,0.5
346,0,0,1,0,0,SINGLE_BALL,0.5
347,0,0,1,0,0,SINGLE_BALL,0.5
348,0,0,1,0,0,SINGLE_BALL,0.5
349,0,0,1,0,0,SINGLE_BALL,0.5
350,0,0,1,0,0,SINGLE_BALL,0.5
351,0,0,1,0,0,SINGLE_BALL,0.5
352,0,0,1,0,0,SINGLE_BALL,0.5
353,0,0,1,0,0,SINGLE_BALL,0.5
354,0,0,1,0,0,SINGLE_BALL,0.5
355,0,0,1,0,0,SINGLE_BALL,0.5
356,0,0,1,0,0,SINGLE_BALL,0.5
357,0,0,1,0,0,SINGLE_BALL,0.5
358,0,0,1,0,0,SINGLE_BALL,0.5
359,0,0,1,0,0,SINGLE_BALL,0.5
360,0,0,1,0,0,SINGLE_BALL,0.5
361,0,0,1,0,0,SINGLE_BALL,0.5
362,0,0,1,0,0,SINGLE_BALL,0.5
363,0,0,1,0,0,SINGLE_BALL,0.5
364,0,0,1,0,0,SINGLE_BALL,0.5
365,0,0,1,0,0,SINGLE_BALL,0.5
