frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39_pattern,h39_rejected
185,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
186,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
187,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
188,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
189,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
190,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
191,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
192,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
193,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
194,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
195,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
196,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
197,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
198,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
199,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
200,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
201,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
202,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
203,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
204,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
205,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
206,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
207,0,1,2,CATCH,2,0,1,2,TWO_BALL_ONE_HAND,0.479,True,True,True,TWO_BALL_ONE_HAND,False
208,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.454,True,False,False,SINGLE_BALL,False
212,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
213,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
220,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
221,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
222,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
223,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
224,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
225,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
