frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,same_hand_run,unique_hands,alternation_score,catch_rate_hz
203,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
204,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
205,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
206,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
207,2,0,1,2,0.479,TWO_BALL_ONE_HAND,0.479,4,0,2,0.0,0.0
208,1,0,0,1,0.454,SINGLE_BALL,0.454,4,0,2,0.0,0.0
212,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
213,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
220,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
221,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
222,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
223,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
224,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
225,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
226,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
227,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
228,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
229,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
230,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
231,1,0,0,1,0.316,SINGLE_BALL,0.316,4,0,2,0.0,0.0
232,3,0,1,3,0.593,MIXED_3+,0.593,4,2,2,0.333,0.91
233,3,0,0,3,0.593,MIXED_3+,0.593,4,2,2,0.333,0.91
234,3,0,0,3,0.593,MIXED_3+,0.593,4,2,2,0.333,0.91
235,3,0,0,3,0.593,MIXED_3+,0.593,4,1,2,0.667,0.43
236,2,0,0,2,0.637,TWO_BALL,0.637,4,0,2,0.0,0.0
237,2,0,0,2,0.637,TWO_BALL,0.637,4,0,2,0.0,0.0
238,2,0,0,2,0.637,TWO_BALL,0.637,4,0,2,0.0,0.0
239,2,0,0,2,0.637,TWO_BALL,0.637,4,0,2,0.0,0.0
240,2,0,0,2,0.637,TWO_BALL,0.637,4,0,2,0.0,0.0
241,2,0,0,2,0.637,TWO_BALL,0.637,4,0,2,0.0,0.0
242,2,0,0,2,0.637,TWO_BALL,0.637,4,0,2,0.0,0.0
243,3,0,0,3,0.593,MIXED_3+,0.593,4,2,1,0.333,0.43
244,3,0,0,3,0.593,MIXED_3+,0.593,4,2,1,0.333,0.43
245,3,0,0,3,0.593,MIXED_3+,0.593,4,2,1,0.333,0.43
246,3,0,0,3,0.593,MIXED_3+,0.593,4,2,1,0.333,0.43
247,3,0,0,3,0.593,MIXED_3+,0.593,4,2,1,0.333,0.43
248,3,0,0,3,0.593,MIXED_3+,0.593,4,2,1,0.333,0.43
249,3,0,0,3,0.593,MIXED_3+,0.593,4,2,1,0.333,0.43
250,3,0,0,3,0.593,MIXED_3+,0.593,4,2,1,0.333,0.43
251,3,0,0,3,0.593,MIXED_3+,0.593,4,2,1,0.333,0.43
252,3,0,0,3,0.593,CASCADE_3+,0.593,4,1,2,0.667,3.53
253,2,0,0,2,0.731,TWO_BALL,0.731,4,0,2,0.0,0.0
254,2,0,0,2,0.731,TWO_BALL,0.731,4,0,2,0.0,0.0
255,2,0,0,2,0.731,TWO_BALL,0.731,4,0,2,0.0,0.0
256,1,0,0,1,0.958,SINGLE_BALL,0.958,4,0,2,0.0,0.0
257,2,0,0,2,0.935,TWO_BALL,0.935,4,0,2,0.0,0.0
258,2,0,0,2,0.935,TWO_BALL,0.935,4,0,2,0.0,0.0
259,2,0,0,2,0.935,TWO_BALL,0.935,4,0,2,0.0,0.0
260,2,0,0,2,0.935,TWO_BALL,0.935,4,0,2,0.0,0.0
261,2,0,0,2,0.935,TWO_BALL,0.935,4,0,2,0.0,0.0
262,2,0,0,2,0.935,TWO_BALL,0.935,4,0,2,0.0,0.0
263,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
264,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
265,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
266,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
267,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
268,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
269,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
270,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
271,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
272,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
273,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
274,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
275,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
276,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
277,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
278,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
279,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
280,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
281,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
282,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
283,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
284,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
285,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
286,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
287,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
288,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
289,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
290,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
291,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
292,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
293,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
294,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
295,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
296,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
297,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
298,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
299,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
300,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
301,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
302,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
303,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
