stem,src,tgt,gap,label,in_h7v3plus3,chain_edge_type,src_end_side,tgt_start_side,cross_hand,end_d,start_d,spatial_jump,v_jump,is_hand_edge,v1_d30_j80,v1_d30_j100,v1_d30_j120,v1_d30_j150,v1_d30_j200,v1_d40_j100,v1_d40_j150,v1_d40_j200,v1_d40_j250,v1_d50_j100,v1_d50_j150,v1_d50_j200,v1_d50_j250,v1_d60_j150,v1_d60_j200,v1_d60_j250,v1_d60_j300,v1_d80_j200,v1_d80_j250,v1_d80_j300,v2_d30,v2_d40,v2_d50,v2_d60,v2_d80,v2_d100
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,4,18,3,correct,True,RECLASSIFIED_HAND_TRANSITION,right,right,False,6.85,10.38,28.64,9.55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,13,5,correct,True,RECLASSIFIED_HAND_TRANSITION,left,left,False,13.47,18.7,78.07,15.61,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,5,wrong,False,NOT_IN_CHAIN,right,left,True,2.24,120.71,175.18,35.04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,11,14,3,correct,True,RECLASSIFIED_HAND_TRANSITION,right,right,False,12.41,13.49,63.6,21.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,13,16,8,correct,True,RECLASSIFIED_HAND_TRANSITION,right,right,False,16.22,21.72,83.15,10.39,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,14,17,1,correct,True,RECLASSIFIED_HAND_TRANSITION,left,left,False,17.73,21.67,85.01,85.01,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,5,correct,True,RECLASSIFIED_HAND_TRANSITION,left,left,False,6.63,4.99,40.06,8.01,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,16,21,8,correct,False,NOT_IN_CHAIN,right,right,False,7.83,35.34,73.21,9.15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,24,5,correct,True,RECLASSIFIED_HAND_TRANSITION,right,right,False,6.74,13.87,23.32,4.66,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,18,30,1,correct,True,RECLASSIFIED_HAND_TRANSITION,right,right,False,27.49,34.96,94.5,94.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,19,22,6,correct,True,RECLASSIFIED_HAND_TRANSITION,right,right,False,12.89,34.5,92.64,15.44,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
