frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz
212,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
213,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
214,0,0,0,0,0.0,NO_BALL,1.0,4,0,0,0.0,0.0
215,0,0,0,0,0.0,NO_BALL,1.0,4,0,0,0.0,0.0
216,0,0,0,0,0.0,NO_BALL,1.0,4,0,0,0.0,0.0
217,0,0,0,0,0.0,NO_BALL,1.0,4,0,0,0.0,0.0
218,0,0,0,0,0.0,NO_BALL,1.0,4,0,0,0.0,0.0
219,0,0,0,0,0.0,NO_BALL,1.0,4,0,0,0.0,0.0
220,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
221,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
222,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
223,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
224,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
225,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
226,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
227,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
228,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
229,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
230,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
231,1,0,0,1,0.488,SINGLE_BALL,0.488,4,0,0,0.0,0.0
232,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
233,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
234,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
235,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
236,2,0,0,2,0.458,TWO_BALL,0.458,4,0,0,0.0,0.0
237,2,0,0,2,0.458,TWO_BALL,0.458,4,0,0,0.0,0.0
238,2,0,0,2,0.458,TWO_BALL,0.458,4,0,0,0.0,0.0
239,2,0,0,2,0.458,TWO_BALL,0.458,4,0,0,0.0,0.0
240,2,0,0,2,0.458,TWO_BALL,0.458,4,0,0,0.0,0.0
241,2,0,0,2,0.458,TWO_BALL,0.458,4,0,0,0.0,0.0
242,2,0,0,2,0.458,TWO_BALL,0.458,4,0,0,0.0,0.0
243,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
244,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
245,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
246,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
247,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
248,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
249,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
250,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
251,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
252,3,0,0,3,0.405,MIXED_3+,0.405,4,0,2,0.333,0.86
253,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
254,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
