frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz,time_span_K
231,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,0.333,2.0,42
232,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,0.333,2.0,42
233,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,0.333,2.0,42
234,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,0.333,2.0,42
235,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,0.333,2.0,42
236,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,0.333,2.0,42
237,4,0,0,4,0.695,MIXED_3+,0.695,4,4,2,0.333,2.0,42
238,4,0,1,4,0.695,MIXED_3+_UNCONFIRMED,0.347,4,4,1,0.667,0.44,155
239,3,0,0,3,0.647,MIXED_3+_UNCONFIRMED,0.324,4,4,1,0.667,0.44,155
240,3,0,0,3,0.647,MIXED_3+_UNCONFIRMED,0.324,4,4,1,0.667,0.44,155
241,3,0,0,3,0.647,MIXED_3+_UNCONFIRMED,0.324,4,4,1,0.667,0.44,155
242,3,0,0,3,0.647,MIXED_3+_UNCONFIRMED,0.324,4,4,1,0.667,0.44,155
243,3,0,0,3,0.647,MIXED_3+_UNCONFIRMED,0.324,4,4,1,0.667,0.44,155
244,3,0,0,3,0.647,MIXED_3+_UNCONFIRMED,0.324,4,4,1,0.667,0.44,155
245,3,0,0,3,0.647,MIXED_3+_UNCONFIRMED,0.324,4,4,1,0.667,0.44,155
246,3,0,0,3,0.647,MIXED_3+_UNCONFIRMED,0.324,4,4,1,0.667,0.44,155
247,4,0,0,4,0.639,MIXED_3+_UNCONFIRMED,0.32,4,4,1,0.667,0.44,155
248,4,0,0,4,0.639,MIXED_3+_UNCONFIRMED,0.32,4,4,1,0.667,0.44,155
249,4,0,0,4,0.639,MIXED_3+_UNCONFIRMED,0.32,4,4,1,0.667,0.44,155
250,4,0,0,4,0.639,MIXED_3+_UNCONFIRMED,0.32,4,4,1,0.667,0.44,155
251,4,0,0,4,0.639,MIXED_3+_UNCONFIRMED,0.32,4,4,1,0.667,0.44,155
252,4,0,0,4,0.639,MIXED_3+_UNCONFIRMED,0.32,4,4,1,0.667,0.44,155
253,4,0,0,4,0.639,MIXED_3+_UNCONFIRMED,0.32,4,4,1,0.667,0.44,155
254,4,0,0,4,0.639,MIXED_3+_UNCONFIRMED,0.32,4,4,1,0.667,0.44,155
255,5,0,1,5,0.679,MIXED_3+_UNCONFIRMED,0.34,4,4,2,0.333,0.44,153
256,5,0,0,5,0.679,MIXED_3+_UNCONFIRMED,0.34,4,4,1,0.667,3.33,142
257,4,0,0,4,0.681,MIXED_3+_UNCONFIRMED,0.341,4,4,1,0.667,3.33,142
258,4,0,0,4,0.681,MIXED_3+_UNCONFIRMED,0.341,4,4,1,0.667,3.33,142
259,4,0,0,4,0.681,MIXED_3+_UNCONFIRMED,0.341,4,4,1,0.667,3.33,142
260,4,0,0,4,0.681,MIXED_3+_UNCONFIRMED,0.341,4,4,1,0.667,3.33,142
261,4,0,0,4,0.681,MIXED_3+_UNCONFIRMED,0.341,4,4,1,0.667,3.33,142
262,4,0,0,4,0.681,MIXED_3+_UNCONFIRMED,0.341,4,4,1,0.667,3.33,142
263,4,0,0,4,0.681,MIXED_3+_UNCONFIRMED,0.341,4,4,1,0.667,3.33,142
264,4,0,0,4,0.681,MIXED_3+_UNCONFIRMED,0.341,4,4,1,0.667,3.33,142
265,4,0,0,4,0.681,MIXED_3+_UNCONFIRMED,0.341,4,4,1,0.667,3.33,142
266,4,0,0,4,0.681,MIXED_3+_UNCONFIRMED,0.341,4,4,1,0.667,3.33,142
267,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
268,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
269,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
270,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
271,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
272,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
273,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
274,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
275,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
