frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence
333,2,0,0,2,0.757,TWO_BALL,0.757
334,2,0,0,2,0.757,TWO_BALL,0.757
335,1,0,0,1,0.602,SINGLE_BALL,0.602
336,1,0,0,1,0.602,SINGLE_BALL,0.602
337,1,0,0,1,0.602,SINGLE_BALL,0.602
338,1,0,0,1,0.602,SINGLE_BALL,0.602
339,1,0,0,1,0.602,SINGLE_BALL,0.602
340,1,0,0,1,0.602,SINGLE_BALL,0.602
341,1,0,0,1,0.602,SINGLE_BALL,0.602
342,1,0,0,1,0.602,SINGLE_BALL,0.602
343,1,0,0,1,0.602,SINGLE_BALL,0.602
344,1,0,0,1,0.602,SINGLE_BALL,0.602
345,1,0,0,1,0.602,SINGLE_BALL,0.602
346,1,0,0,1,0.602,SINGLE_BALL,0.602
347,1,0,0,1,0.602,SINGLE_BALL,0.602
348,1,0,0,1,0.602,SINGLE_BALL,0.602
349,1,0,0,1,0.602,SINGLE_BALL,0.602
350,1,0,0,1,0.602,SINGLE_BALL,0.602
351,1,0,0,1,0.602,SINGLE_BALL,0.602
352,1,0,0,1,0.602,SINGLE_BALL,0.602
353,1,0,0,1,0.602,SINGLE_BALL,0.602
354,1,0,0,1,0.602,SINGLE_BALL,0.602
355,1,0,0,1,0.602,SINGLE_BALL,0.602
356,1,0,0,1,0.602,SINGLE_BALL,0.602
357,1,0,0,1,0.602,SINGLE_BALL,0.602
358,1,0,0,1,0.602,SINGLE_BALL,0.602
359,1,0,0,1,0.602,SINGLE_BALL,0.602
360,1,0,0,1,0.602,SINGLE_BALL,0.602
361,1,0,0,1,0.602,SINGLE_BALL,0.602
362,1,0,0,1,0.602,SINGLE_BALL,0.602
363,1,0,0,1,0.602,SINGLE_BALL,0.602
364,1,0,0,1,0.602,SINGLE_BALL,0.602
365,1,0,0,1,0.602,SINGLE_BALL,0.602
366,1,0,0,1,0.602,SINGLE_BALL,0.602
367,1,0,0,1,0.602,SINGLE_BALL,0.602
368,1,0,0,1,0.602,SINGLE_BALL,0.602
369,1,0,0,1,0.602,SINGLE_BALL,0.602
370,1,0,0,1,0.602,SINGLE_BALL,0.602
371,1,0,0,1,0.602,SINGLE_BALL,0.602
372,1,0,0,1,0.602,SINGLE_BALL,0.602
373,1,0,0,1,0.602,SINGLE_BALL,0.602
374,1,0,0,1,0.602,SINGLE_BALL,0.602
