video,frame,time_seconds,tracker,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
identical_balls_trick_000_018.mp4,84,1.401400,botsort,106,32,sports ball,0.528015,532.172,244.786,577.043,289.409,555.000,267.000,44.871,44.623
identical_balls_trick_000_018.mp4,85,1.418083,botsort,106,32,sports ball,0.486346,530.654,231.798,575.902,277.061,553.000,254.000,45.248,45.263
identical_balls_trick_000_018.mp4,86,1.434767,botsort,,32,sports ball,0.588481,430.937,448.606,468.652,491.273,450.000,470.000,37.716,42.666
identical_balls_trick_000_018.mp4,86,1.434767,botsort,,32,sports ball,0.367336,673.382,557.706,713.390,599.094,693.000,578.000,40.008,41.388
identical_balls_trick_000_018.mp4,86,1.434767,botsort,,32,sports ball,0.253108,529.353,223.231,574.112,268.132,552.000,246.000,44.760,44.900
identical_balls_trick_000_018.mp4,87,1.451450,botsort,114,32,sports ball,0.911282,416.558,452.718,456.285,494.822,436.000,474.000,39.727,42.104
identical_balls_trick_000_018.mp4,87,1.451450,botsort,106,32,sports ball,0.586572,528.076,212.006,573.236,257.582,551.000,235.000,45.161,45.576
identical_balls_trick_000_018.mp4,88,1.468133,botsort,106,32,sports ball,0.203512,526.373,204.950,571.194,250.532,549.000,228.000,44.820,45.581
identical_balls_trick_000_018.mp4,89,1.484817,botsort,106,32,sports ball,0.402427,524.068,199.466,569.719,245.459,547.000,222.000,45.650,45.993
identical_balls_trick_000_018.mp4,89,1.484817,botsort,118,32,sports ball,0.665594,389.484,464.395,433.094,505.529,411.000,485.000,43.610,41.134
identical_balls_trick_000_018.mp4,90,1.501500,botsort,118,32,sports ball,0.658683,382.609,468.780,427.773,509.954,405.000,489.000,45.164,41.174
identical_balls_trick_000_018.mp4,91,1.518183,botsort,118,32,sports ball,0.736057,377.433,472.154,422.477,513.516,400.000,493.000,45.044,41.362
identical_balls_trick_000_018.mp4,91,1.518183,botsort,120,32,sports ball,0.479954,688.621,596.900,728.407,641.068,709.000,619.000,39.787,44.168
identical_balls_trick_000_018.mp4,91,1.518183,botsort,106,32,sports ball,0.680423,521.260,193.657,567.116,239.882,544.000,217.000,45.856,46.225
identical_balls_trick_000_018.mp4,92,1.534867,botsort,118,32,sports ball,0.534655,376.092,474.053,421.271,515.662,399.000,495.000,45.180,41.608
identical_balls_trick_000_018.mp4,92,1.534867,botsort,106,32,sports ball,0.623618,520.019,194.522,565.644,240.696,543.000,218.000,45.625,46.174
identical_balls_trick_000_018.mp4,93,1.551550,botsort,118,32,sports ball,0.467129,377.711,474.180,423.137,515.735,400.000,495.000,45.426,41.555
identical_balls_trick_000_018.mp4,93,1.551550,botsort,106,32,sports ball,0.623650,518.739,196.683,564.555,242.900,542.000,220.000,45.816,46.216
identical_balls_trick_000_018.mp4,93,1.551550,botsort,120,32,sports ball,0.601423,692.241,584.317,733.954,628.376,713.000,606.000,41.713,44.060
identical_balls_trick_000_018.mp4,94,1.568233,botsort,118,32,sports ball,0.681052,382.829,471.625,428.900,513.455,406.000,493.000,46.071,41.829
identical_balls_trick_000_018.mp4,94,1.568233,botsort,106,32,sports ball,0.454618,517.313,200.507,563.954,246.657,541.000,224.000,46.641,46.149
identical_balls_trick_000_018.mp4,94,1.568233,botsort,120,32,sports ball,0.501186,694.722,572.279,736.150,615.938,715.000,594.000,41.428,43.659
identical_balls_trick_000_018.mp4,95,1.584917,botsort,118,32,sports ball,0.823156,392.617,467.168,438.543,509.632,416.000,488.000,45.926,42.464
identical_balls_trick_000_018.mp4,95,1.584917,botsort,106,32,sports ball,0.568327,515.930,206.196,561.337,252.810,539.000,230.000,45.407,46.614
identical_balls_trick_000_018.mp4,95,1.584917,botsort,120,32,sports ball,0.614675,696.065,555.169,738.464,597.608,717.000,576.000,42.399,42.439
identical_balls_trick_000_018.mp4,96,1.601600,botsort,106,32,sports ball,0.654749,514.917,213.826,560.081,260.427,537.000,237.000,45.164,46.601
identical_balls_trick_000_018.mp4,96,1.601600,botsort,114,32,sports ball,0.733463,413.117,458.388,458.661,500.325,436.000,479.000,45.544,41.937
identical_balls_trick_000_018.mp4,97,1.618283,botsort,,32,sports ball,0.687425,432.810,447.349,480.083,490.707,456.000,469.000,47.273,43.357
identical_balls_trick_000_018.mp4,97,1.618283,botsort,,32,sports ball,0.382889,513.582,230.393,559.566,276.577,537.000,253.000,45.984,46.183
identical_balls_trick_000_018.mp4,97,1.618283,botsort,,32,sports ball,0.284118,698.860,499.763,744.195,542.995,722.000,521.000,45.335,43.232
identical_balls_trick_000_018.mp4,98,1.634967,botsort,,32,sports ball,0.414127,513.092,242.091,557.626,288.391,535.000,265.000,44.534,46.300
identical_balls_trick_000_018.mp4,98,1.634967,botsort,,32,sports ball,0.335469,699.617,470.075,746.661,511.412,723.000,491.000,47.044,41.337
identical_balls_trick_000_018.mp4,99,1.651650,botsort,,32,sports ball,0.246488,512.275,256.502,556.085,302.612,534.000,280.000,43.810,46.111
identical_balls_trick_000_018.mp4,101,1.685017,botsort,,32,sports ball,0.494479,510.350,289.125,554.705,335.816,533.000,312.000,44.355,46.690
