frame,time_seconds,track_id,confidence,center_x,center_y
149,2.485817,20,0.338197,528.798,202.191
149,2.485817,22,0.385034,783.691,559.352
149,2.485817,23,0.525464,585.529,586.967
150,2.502500,20,0.620805,526.704,214.842
150,2.502500,22,0.385034,782.002,549.714
150,2.502500,23,0.525464,592.267,587.042
151,2.519183,20,0.418730,524.413,229.514
151,2.519183,22,0.385034,780.313,540.077
151,2.519183,23,0.525464,599.006,587.117
152,2.535867,20,0.164677,522.551,246.363
152,2.535867,22,0.385034,778.624,530.439
152,2.535867,23,0.525464,605.744,587.192
153,2.552550,20,0.164677,520.450,257.513
153,2.552550,22,0.385034,776.935,520.801
154,2.569233,20,0.164677,518.350,268.664
154,2.569233,22,0.385034,775.246,511.164
155,2.585917,20,0.164677,516.250,279.814
156,2.602600,20,0.164677,514.149,290.965
157,2.619283,20,0.164677,512.049,302.115
164,2.736067,24,0.307370,586.047,160.112
165,2.752750,24,0.176425,586.355,147.599
166,2.769433,24,0.217140,586.569,135.187
166,2.769433,25,0.606011,586.612,135.478
167,2.786117,24,0.409091,586.752,124.133
167,2.786117,25,0.606011,586.653,132.836
167,2.786117,26,0.174978,585.652,374.936
168,2.802800,24,0.688809,587.043,115.108
168,2.802800,25,0.606011,586.694,130.195
168,2.802800,26,0.214453,584.041,374.688
169,2.819483,24,0.606485,587.231,108.645
169,2.819483,25,0.606011,586.735,127.553
169,2.819483,26,0.214453,583.025,374.576
170,2.836167,24,0.612884,587.460,104.170
170,2.836167,26,0.214453,582.009,374.465
171,2.852850,24,0.712087,587.752,102.131
171,2.852850,26,0.214453,580.993,374.353
172,2.869533,24,0.671149,588.057,102.655
172,2.869533,26,0.156537,587.330,369.825
173,2.886217,24,0.866066,588.292,105.468
173,2.886217,26,0.151586,593.864,366.887
174,2.902900,24,0.818947,588.533,110.749
174,2.902900,26,0.775809,600.089,365.790
175,2.919583,24,0.686517,588.946,118.289
175,2.919583,26,0.782694,605.440,366.387
176,2.936267,24,0.842968,589.287,127.860
176,2.936267,26,0.816790,610.144,369.142
177,2.952950,24,0.532781,589.638,139.556
